p,fortran_s,fortran_error
3,0.00425,2.0803938711953645e-05
4,0.004527,1.0426215653139159e-06
5,0.009548,1.1482457874910156e-08
6,0.016831,4.651433775200928e-10
7,0.026622,4.701738376183319e-12
8,0.047542,4.0490698223020333e-13
9,0.071744,6.435071604580223e-14
10,0.104032,2.6997976853195127e-13
11,0.15033,2.666502594484958e-14
12,0.215222,1.0413380408094245e-13
13,0.277172,1.778663169887354e-13
14,0.383182,2.5746763913883206e-13
15,0.492889,3.566549566893354e-13
