p,N_global,error_numpy,error_pytorch,numpy_s,pytorch_s
3,15376,0.004292913397858811,0.004292913397858922,0.003197908401489258,0.005612850189208984
4,26896,0.0005714622744303899,0.0005714622744301678,0.00815892219543457,0.013400077819824219
5,41616,2.5496210924735863e-05,2.549621092462484e-05,0.014770984649658203,0.02841806411743164
6,59536,2.550211147922532e-06,2.5502111480335543e-06,0.031558990478515625,0.05598807334899902
7,80656,9.510109000299138e-08,9.510109000299138e-08,0.04340696334838867,0.18867206573486328
8,104976,8.036240339848177e-09,8.036240117803573e-09,0.08644795417785645,0.2890498638153076
9,132496,2.524114250945786e-10,2.524114250945786e-10,0.12166810035705566,0.37943124771118164
10,163216,1.8680723634645346e-11,1.8681167723855197e-11,0.24730181694030762,0.6025629043579102
