%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha180

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.00 and 3.00 wall units in the x- and z-directions
     and 0.20 to 5.93 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     768 x 128 x 384

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 3,960 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 180

2.2. Obtained mean quantities

     Re_bulk = 5546


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
29   2.894227e+01   1.377129e+01   5.071342e+00   1.187956e+00
30   3.102314e+01   1.399964e+01   4.771585e+00   1.194740e+00
31   3.321284e+01   1.421264e+01   4.481030e+00   1.198317e+00
32   3.551526e+01   1.441236e+01   4.202704e+00   1.198920e+00
33   3.793428e+01   1.460078e+01   3.939287e+00   1.196858e+00
34   4.047372e+01   1.477969e+01   3.692753e+00   1.192555e+00
35   4.313736e+01   1.495069e+01   3.464201e+00   1.186242e+00
36   4.592880e+01   1.511512e+01   3.253872e+00   1.177645e+00
37   4.885092e+01   1.527406e+01   3.060955e+00   1.166083e+00
38   5.190696e+01   1.542843e+01   2.883518e+00   1.150664e+00
39   5.510016e+01   1.557901e+01   2.719501e+00   1.130634e+00
40   5.843268e+01   1.572642e+01   2.567724e+00   1.106075e+00
41   6.190668e+01   1.587111e+01   2.427569e+00   1.077754e+00
42   6.552360e+01   1.601357e+01   2.298193e+00   1.046526e+00
43   6.928524e+01   1.615426e+01   2.178949e+00   1.012745e+00
44   7.319196e+01   1.629352e+01   2.069113e+00   9.767332e-01
45   7.724376e+01   1.643159e+01   1.967398e+00   9.395946e-01
46   8.144064e+01   1.656865e+01   1.872036e+00   9.022674e-01
47   8.578116e+01   1.670467e+01   1.781131e+00   8.649328e-01
48   9.026388e+01   1.683938e+01   1.693386e+00   8.272348e-01
49   9.488664e+01   1.697241e+01   1.608079e+00   7.891627e-01
50   9.964548e+01   1.710343e+01   1.524797e+00   7.506766e-01
51   1.045372e+02   1.723206e+01   1.443855e+00   7.114450e-01
52   1.095563e+02   1.735790e+01   1.365462e+00   6.717125e-01
53   1.146982e+02   1.748044e+01   1.289118e+00   6.327883e-01
54   1.199560e+02   1.759910e+01   1.213864e+00   5.958089e-01
55   1.253228e+02   1.771324e+01   1.138625e+00   5.610375e-01
56   1.307909e+02   1.782202e+01   1.063171e+00   5.286866e-01
