%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha180

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.00 and 3.00 wall units in the x- and z-directions
     and 0.20 to 5.93 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     768 x 128 x 384

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 3,960 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 180

2.2. Obtained mean quantities

     Re_bulk = 5546


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
   6.367932e+01   0.000000e+00  -2.701061e-03   1.452524e-02  -1.622430e-04   1.146207e-02   1.998625e-04
   6.736824e+01   0.000000e+00  -2.013149e-03   1.318100e-02  -1.283900e-04   1.084925e-02   1.902096e-04
   7.120224e+01   0.000000e+00  -1.392135e-03   1.191940e-02  -1.007728e-04   1.024538e-02   1.811138e-04
   7.518132e+01   0.000000e+00  -8.144166e-04   1.072025e-02  -7.776064e-05   9.656236e-03   1.718343e-04
   7.930620e+01   0.000000e+00  -2.628335e-04   9.567806e-03  -5.777233e-05   9.085961e-03   1.612392e-04
   8.357508e+01   0.000000e+00   2.483593e-04   8.475123e-03  -3.916275e-05   8.535847e-03   1.484729e-04
   8.798724e+01   0.000000e+00   6.867872e-04   7.471142e-03  -1.836125e-05   8.004371e-03   1.351970e-04
   9.254088e+01   0.000000e+00   1.054332e-03   6.562220e-03  -2.300696e-07   7.492962e-03   1.233603e-04
   9.723240e+01   0.000000e+00   1.388977e-03   5.712233e-03   1.331331e-05   7.002354e-03   1.121690e-04
   1.020586e+02   0.000000e+00   1.693021e-03   4.917400e-03   2.349888e-05   6.532128e-03   1.017920e-04
   1.070154e+02   0.000000e+00   1.941735e-03   4.209049e-03   2.809696e-05   6.085423e-03   9.345714e-05
   1.120972e+02   0.000000e+00   2.137359e-03   3.578287e-03   3.476980e-05   5.664388e-03   8.602752e-05
   1.172988e+02   0.000000e+00   2.306647e-03   2.992379e-03   4.874536e-05   5.271744e-03   7.602729e-05
   1.226128e+02   0.000000e+00   2.452949e-03   2.460777e-03   6.010619e-05   4.909982e-03   6.384948e-05
   1.280326e+02   0.000000e+00   2.554859e-03   2.013522e-03   6.378454e-05   4.581059e-03   5.110604e-05
   1.335492e+02   0.000000e+00   2.603309e-03   1.658646e-03   6.300242e-05   4.287404e-03   3.755296e-05
   1.391540e+02   0.000000e+00   2.607443e-03   1.381962e-03   6.399267e-05   4.028873e-03   2.452490e-05
   1.448381e+02   0.000000e+00   2.587346e-03   1.169384e-03   6.301014e-05   3.804829e-03   1.491091e-05
   1.505909e+02   0.000000e+00   2.565350e-03   9.980907e-04   5.787166e-05   3.614397e-03   6.915482e-06
   1.564016e+02   0.000000e+00   2.541422e-03   8.627942e-04   5.431738e-05   3.456187e-03   2.346388e-06
   1.622596e+02   0.000000e+00   2.529719e-03   7.527346e-04   4.890178e-05   3.331222e-03   1.335058e-07
   1.681531e+02   0.000000e+00   2.549132e-03   6.471120e-04   4.329942e-05   3.242051e-03  -2.507401e-06
   1.740704e+02   0.000000e+00   2.597089e-03   5.455865e-04   4.302194e-05   3.190878e-03  -5.180415e-06
   1.800000e+02   0.000000e+00   2.661419e-03   4.604832e-04   4.752767e-05   3.177075e-03  -7.644869e-06


Budget of ww+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   2.005679E-01   0.000000E+00  -2.644910E-06   3.780921E-03   6.943590E-02   7.332502E-02  -1.108525E-04
   6.144156E-01   0.000000E+00  -3.597992E-05   9.881068E-03   5.085827E-02   6.087041E-02  -1.670585E-04
   1.054454E+00   0.000000E+00  -1.543022E-04   1.486345E-02   3.576412E-02   5.060515E-02  -1.318860E-04
   1.522274E+00   0.000000E+00  -4.104795E-04   1.890020E-02   2.353190E-02   4.210919E-02  -8.756952E-05
   2.019550E+00   0.000000E+00  -8.382579E-04   2.218029E-02   1.385815E-02   3.523987E-02  -3.968924E-05
   2.548044E+00   0.000000E+00  -1.441980E-03   2.489313E-02   6.497240E-03   2.993705E-02   1.134072E-05
   3.109619E+00   0.000000E+00  -2.193577E-03   2.721281E-02   1.203495E-03   2.615849E-02   6.423793E-05
   3.706236E+00   0.000000E+00  -3.035907E-03   2.928420E-02  -2.305262E-03   2.382608E-02   1.169521E-04
   4.339908E+00   0.000000E+00  -3.891265E-03   3.121268E-02  -4.357876E-03   2.279658E-02   1.669576E-04
   5.012856E+00   0.000000E+00  -4.673150E-03   3.305842E-02  -5.314651E-03   2.285893E-02   2.116870E-04
   5.727312E+00   0.000000E+00  -5.298558E-03   3.483614E-02  -5.536037E-03   2.375260E-02   2.489390E-04
   6.485652E+00   0.000000E+00  -5.698860E-03   3.652024E-02  -5.347123E-03   2.519713E-02   2.771295E-04
   7.290396E+00   0.000000E+00  -5.828769E-03   3.805484E-02  -5.007244E-03   2.692341E-02   2.954085E-04
   8.144100E+00   0.000000E+00  -5.673145E-03   3.936740E-02  -4.690623E-03   2.869993E-02   3.036994E-04
   9.049500E+00   0.000000E+00  -5.249987E-03   4.038424E-02  -4.481938E-03   3.034968E-02   3.026380E-04
   1.000944E+01   0.000000E+00  -4.607638E-03   4.104538E-02  -4.388153E-03   3.175618E-02   2.934082E-04
   1.102684E+01   0.000000E+00  -3.815706E-03   4.131647E-02  -4.364027E-03   3.285917E-02   2.775677E-04
   1.210478E+01   0.000000E+00  -2.951566E-03   4.119549E-02  -4.344862E-03   3.364222E-02   2.568465E-04
   1.324642E+01   0.000000E+00  -2.087066E-03   4.071309E-02  -4.276089E-03   3.411706E-02   2.328701E-04
   1.445512E+01   0.000000E+00  -1.281188E-03   3.992677E-02  -4.128572E-03   3.431007E-02   2.069397E-04
   1.573423E+01   0.000000E+00  -5.806739E-04   3.891171E-02  -3.896349E-03   3.425466E-02   1.800333E-04
   1.708726E+01   0.000000E+00  -2.383206E-05   3.775065E-02  -3.585473E-03   3.398826E-02   1.530838E-04
   1.851782E+01   0.000000E+00   3.604117E-04   3.652441E-02  -3.207620E-03   3.355012E-02   1.270766E-04
   2.002964E+01   0.000000E+00   5.580077E-04   3.530375E-02  -2.780259E-03   3.297846E-02   1.030377E-04
   2.162650E+01   0.000000E+00   5.732338E-04   3.414252E-02  -2.326996E-03   3.230655E-02   8.221726E-05
   2.331223E+01   0.000000E+00   4.323535E-04   3.307195E-02  -1.882321E-03   3.155620E-02   6.578396E-05
   2.509081E+01   0.000000E+00   1.821142E-04   3.209866E-02  -1.490794E-03   3.073614E-02   5.384482E-05
   2.696612E+01   0.000000E+00  -1.329686E-04   3.121072E-02  -1.179343E-03   2.985192E-02   4.648752E-05
   2.894227E+01   0.000000E+00  -4.854092E-04   3.038669E-02  -9.417539E-04   2.891526E-02   4.426344E-05
   3.102314E+01   0.000000E+00  -8.525799E-04   2.959923E-02  -7.574006E-04   2.794121E-02   4.804504E-05
   3.321284E+01   0.000000E+00  -1.206269E-03   2.880933E-02  -6.073647E-04   2.693988E-02   5.581629E-05
   3.551526E+01   0.000000E+00  -1.524682E-03   2.797281E-02  -4.689983E-04   2.591598E-02   6.315942E-05
   3.793428E+01   0.000000E+00  -1.789284E-03   2.706554E-02  -3.378900E-04   2.487196E-02   6.640707E-05
   4.047372E+01   0.000000E+00  -1.958183E-03   2.608468E-02  -2.581840E-04   2.380518E-02   6.313389E-05
   4.313736E+01   0.000000E+00  -2.004067E-03   2.503213E-02  -2.587289E-04   2.271296E-02   5.637774E-05
   4.592880E+01   0.000000E+00  -1.954555E-03   2.391585E-02  -3.050709E-04   2.160493E-02   5.129443E-05
   4.885092E+01   0.000000E+00  -1.837570E-03   2.274640E-02  -3.619411E-04   2.049600E-02   5.088413E-05
   5.190696E+01   0.000000E+00  -1.681451E-03   2.152812E-02  -3.907779E-04   1.940605E-02   4.983867E-05
   5.510016E+01   0.000000E+00  -1.540057E-03   2.027878E-02  -3.342177E-04   1.835484E-02   4.966156E-05
   5.843268E+01   0.000000E+00  -1.398582E-03   1.901171E-02  -2.286089E-04   1.733726E-02   4.725677E-05
   6.190668E+01   0.000000E+00  -1.213581E-03   1.772723E-02  -1.350000E-04   1.633388E-02   4.477124E-05
   6.552360E+01   0.000000E+00  -9.669190E-04   1.644268E-02  -9.348302E-05   1.533577E-02   4.651318E-05
   6.928524E+01   0.000000E+00  -7.117452E-04   1.518556E-02  -6.161371E-05   1.436016E-02   5.203560E-05
   7.319196E+01   0.000000E+00  -4.988788E-04   1.396914E-02   1.312547E-05   1.342151E-02   6.188030E-05
   7.724376E+01   0.000000E+00  -2.827107E-04   1.279548E-02   6.545692E-05   1.250780E-02   7.042570E-05
   8.144064E+01   0.000000E+00  -5.685095E-05   1.167934E-02   6.824584E-05   1.161520E-02   7.553299E-05
   8.578116E+01   0.000000E+00   1.504907E-04   1.063746E-02   4.318004E-05   1.076113E-02   7.000206E-05
   9.026388E+01   0.000000E+00   3.080885E-04   9.682815E-03   3.782064E-05   9.965954E-03   6.276984E-05
   9.488664E+01   0.000000E+00   4.481081E-04   8.800264E-03   3.162731E-05   9.223746E-03   5.625386E-05
   9.964548E+01   0.000000E+00   5.975138E-04   7.951941E-03   1.375360E-05   8.516833E-03   4.637605E-05
   1.045372E+02   0.000000E+00   7.319184E-04   7.132547E-03   2.096531E-05   7.850460E-03   3.497123E-05
   1.095563E+02   0.000000E+00   8.319646E-04   6.356958E-03   6.762527E-05   7.229394E-03   2.715391E-05
   1.146982E+02   0.000000E+00   9.324523E-04   5.626990E-03   1.026820E-04   6.640772E-03   2.135144E-05
   1.199560E+02   0.000000E+00   1.044648E-03   4.954488E-03   1.037453E-04   6.083261E-03   1.962048E-05
   1.253228E+02   0.000000E+00   1.141756E-03   4.349764E-03   1.032544E-04   5.572427E-03   2.234804E-05
   1.307909E+02   0.000000E+00   1.224983E-03   3.802072E-03   1.096913E-04   5.110012E-03   2.673446E-05
   1.363518E+02   0.000000E+00   1.327117E-03   3.302692E-03   9.186279E-05   4.687989E-03   3.368306E-05
   1.419962E+02   0.000000E+00   1.432959E-03   2.839696E-03   7.578284E-05   4.310515E-03   3.792344E-05
   1.477145E+02   0.000000E+00   1.504714E-03   2.430415E-03   9.358392E-05   3.987184E-03   4.152921E-05
   1.534961E+02   0.000000E+00   1.553053E-03   2.091159E-03   1.143088E-04   3.715214E-03   4.330619E-05
   1.593306E+02   0.000000E+00   1.590817E-03   1.821989E-03   1.209321E-04   3.487949E-03   4.578976E-05
   1.652062E+02   0.000000E+00   1.622994E-03   1.605149E-03   1.304577E-04   3.311394E-03   4.720581E-05
   1.711116E+02   0.000000E+00   1.650204E-03   1.443621E-03   1.467251E-04   3.193804E-03   4.674606E-05
   1.770354E+02   0.000000E+00   1.682073E-03   1.355623E-03   1.418263E-04   3.134591E-03   4.493170E-05


Budget of -uv+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   2.005679e-01  -5.023164e-07  -5.926617e-07   1.576233e-04  -9.825985e-04  -6.594064e-04  -1.666637e-04
   6.144156e-01  -1.207171e-05  -1.701131e-05   9.925670e-04  -3.038597e-03  -2.055349e-03  -1.976374e-05
   1.054454e+00  -7.991054e-05  -1.109650e-04   1.828207e-03  -5.259699e-03  -3.603417e-03  -1.895036e-05
   1.522274e+00  -2.916642e-04  -3.930541e-04   2.921442e-03  -7.512698e-03  -5.257366e-03  -1.860818e-05
   2.019550e+00  -7.735854e-04  -9.973991e-04   4.403023e-03  -9.561085e-03  -6.909428e-03  -1.961899e-05
   2.548044e+00  -1.681301e-03  -2.037251e-03   6.403317e-03  -1.112894e-02  -8.422041e-03  -2.212986e-05
   3.109619e+00  -3.184723e-03  -3.550074e-03   9.021061e-03  -1.196310e-02  -9.651129e-03  -2.571002e-05
   3.706236e+00  -5.447130e-03  -5.451250e-03   1.229420e-02  -1.189971e-02  -1.047395e-02  -2.994219e-05
   4.339908e+00  -8.600067e-03  -7.518050e-03   1.618094e-02  -1.091165e-02  -1.081386e-02  -3.497159e-05
   5.012856e+00  -1.271764e-02  -9.416152e-03   2.055708e-02  -9.119891e-03  -1.065490e-02  -4.170054e-05
   5.727312e+00  -1.779522e-02  -1.076451e-02   2.523115e-02  -6.765647e-03  -1.004267e-02  -5.155785e-05
   6.485652e+00  -2.373774e-02  -1.121919e-02   2.997343e-02  -4.154929e-03  -9.072443e-03  -6.598822e-05
   7.290396e+00  -3.036093e-02  -1.055008e-02   3.455091e-02  -1.594654e-03  -7.868841e-03  -8.590842e-05
   8.144100e+00  -3.740615e-02  -8.688986e-03   3.875919e-02   6.614496e-04  -6.563165e-03  -1.113373e-04
   9.049500e+00  -4.456623e-02  -5.738859e-03   4.244403e-02   2.446110e-03  -5.273672e-03  -1.412856e-04
   1.000944e+01  -5.151728e-02  -1.946850e-03   4.550964e-02   3.688167e-03  -4.092403e-03  -1.739238e-04
   1.102684e+01  -5.795098e-02   2.347225e-03   4.791513e-02   4.401872e-03  -3.079755e-03  -2.069966e-04
   1.210478e+01  -6.360238e-02   6.771785e-03   4.966401e-02   4.662335e-03  -2.265920e-03  -2.383308e-04
   1.324642e+01  -6.826987e-02   1.097886e-02   5.079237e-02   4.575653e-03  -1.656764e-03  -2.662332e-04
   1.445512e+01  -7.182553e-02   1.468338e-02   5.135857e-02   4.252560e-03  -1.241305e-03  -2.897136e-04
   1.573423e+01  -7.421589e-02   1.768316e-02   5.143416e-02   3.791292e-03  -9.986423e-04  -3.086373e-04
   1.708726e+01  -7.545445e-02   1.986219e-02   5.109528e-02   3.270009e-03  -9.031417e-04  -3.238338e-04
   1.851782e+01  -7.560878e-02   2.118191e-02   5.041600e-02   2.746443e-03  -9.274603e-04  -3.369613e-04
   2.002964e+01  -7.478605e-02   2.166555e-02   4.946520e-02   2.261164e-03  -1.044360e-03  -3.497786e-04
   2.162650e+01  -7.312122e-02   2.138230e-02   4.830895e-02   1.837335e-03  -1.229114e-03  -3.635216e-04
   2.331223e+01  -7.076800e-02   2.043908e-02   4.700890e-02   1.478842e-03  -1.461241e-03  -3.799392e-04
   2.509081e+01  -6.788891e-02   1.898037e-02   4.560680e-02   1.179249e-03  -1.722713e-03  -3.997804e-04
   2.696612e+01  -6.464414e-02   1.716791e-02   4.412625e-02   9.333111e-04  -1.995740e-03  -4.209278e-04
   2.894227e+01  -6.118435e-02   1.513365e-02   4.260855e-02   7.369868e-04  -2.263978e-03  -4.411853e-04
   3.102314e+01  -5.764850e-02   1.295780e-02   4.113286e-02   5.823624e-04  -2.515681e-03  -4.597972e-04
   3.321284e+01  -5.415753e-02   1.071240e-02   3.976454e-02   4.555843e-04  -2.744540e-03  -4.804684e-04
   3.551526e+01  -5.079940e-02   8.511139e-03   3.849103e-02   3.493973e-04  -2.946174e-03  -5.016621e-04
   3.793428e+01  -4.762133e-02   6.452691e-03   3.727018e-02   2.651226e-04  -3.114160e-03  -5.191830e-04
   4.047372e+01  -4.463995e-02   4.583444e-03   3.608387e-02   2.003113e-04  -3.242084e-03  -5.302463e-04
   4.313736e+01  -4.185151e-02   2.950433e-03   3.488824e-02   1.476574e-04  -3.327570e-03  -5.376130e-04
   4.592880e+01  -3.923658e-02   1.588914e-03   3.362273e-02   1.080930e-04  -3.372504e-03  -5.443421e-04
   4.885092e+01  -3.677861e-02   4.606328e-04   3.230752e-02   8.333818e-05  -3.382261e-03  -5.448589e-04
   5.190696e+01  -3.447484e-02  -4.877310e-04   3.099545e-02   6.341081e-05  -3.362712e-03  -5.409968e-04
   5.510016e+01  -3.231574e-02  -1.237281e-03   2.966020e-02   4.624548e-05  -3.316049e-03  -5.305301e-04
   5.843268e+01  -3.028168e-02  -1.767852e-03   2.825802e-02   3.737058e-05  -3.239812e-03  -5.143287e-04
   6.190668e+01  -2.837321e-02  -2.080739e-03   2.679820e-02   3.348895e-05  -3.134680e-03  -4.875734e-04
   6.552360e+01  -2.660025e-02  -2.206489e-03   2.531322e-02   2.433102e-05  -3.008586e-03  -4.606059e-04
   6.928524e+01  -2.494936e-02  -2.208273e-03   2.383564e-02   1.804128e-05  -2.869733e-03  -4.342162e-04
   7.319196e+01  -2.340235e-02  -2.158461e-03   2.241320e-02   1.428447e-05  -2.724457e-03  -4.088704e-04
   7.724376e+01  -2.194813e-02  -2.112275e-03   2.108483e-02   1.068767e-05  -2.577683e-03  -3.872019e-04
   8.144064e+01  -2.056307e-02  -2.090231e-03   1.985137e-02   6.863039e-06  -2.429231e-03  -3.658410e-04
   8.578116e+01  -1.921614e-02  -2.096182e-03   1.869226e-02   3.532232e-06  -2.277078e-03  -3.394549e-04
   9.026388e+01  -1.789558e-02  -2.157440e-03   1.760894e-02   2.259029e-06  -2.124031e-03  -3.177891e-04
   9.488664e+01  -1.661326e-02  -2.253236e-03   1.658541e-02   2.084266e-06  -1.974317e-03  -3.046835e-04
   9.964548e+01  -1.537908e-02  -2.381646e-03   1.562480e-02   1.347931e-06  -1.828138e-03  -3.064373e-04
   1.045372e+02  -1.419399e-02  -2.523491e-03   1.472693e-02   5.082269e-07  -1.684135e-03  -3.059115e-04
   1.095563e+02  -1.305676e-02  -2.633259e-03   1.384107e-02  -6.803798e-08  -1.542447e-03  -3.065686e-04
   1.146982e+02  -1.196303e-02  -2.682978e-03   1.293084e-02   9.467870e-08  -1.404515e-03  -3.105638e-04
   1.199560e+02  -1.091307e-02  -2.653855e-03   1.198853e-02   5.165818e-07  -1.270634e-03  -3.072407e-04
   1.253228e+02  -9.905161e-03  -2.580320e-03   1.104690e-02  -1.425837e-06  -1.140999e-03  -2.990120e-04
   1.307909e+02  -8.921346e-03  -2.506549e-03   1.011899e-02  -2.444322e-06  -1.015571e-03  -2.957795e-04
   1.363518e+02  -7.941431e-03  -2.421930e-03   9.168580e-03  -2.998046e-06  -8.928508e-04  -3.049282e-04
   1.419962e+02  -6.958256e-03  -2.263689e-03   8.151141e-03  -3.060057e-06  -7.720931e-04  -3.017714e-04
   1.477145e+02  -5.968831e-03  -2.042408e-03   7.076990e-03  -3.376943e-06  -6.521453e-04  -2.854802e-04
   1.534961e+02  -4.965040e-03  -1.777205e-03   5.947788e-03  -4.138471e-06  -5.330307e-04  -2.655659e-04
   1.593306e+02  -3.932637e-03  -1.462831e-03   4.758896e-03  -5.248397e-06  -4.154095e-04  -2.264117e-04
   1.652062e+02  -2.857218e-03  -1.110475e-03   3.499142e-03  -5.076018e-06  -2.989754e-04  -1.746513e-04
   1.711116e+02  -1.739120e-03  -7.155876e-04   2.161145e-03  -2.957497e-06  -1.832444e-04  -1.132757e-04
   1.770354e+02  -5.907814e-04  -2.987906e-04   7.746403e-04  -2.566722e-06  -6.780748e-05  -4.969095e-05

(EOF)
