# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 15 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
-0.49389,-2.17872
-0.49295,-2.17795
-0.49201,-2.17722
-0.49107,-2.17653
-0.49013,-2.17586
-0.48919,-2.17524
-0.48825,-2.17464
-0.48731,-2.17408
-0.48637,-2.17356
-0.48543,-2.17306
-0.48449,-2.17259
-0.48355,-2.17216
-0.48261,-2.17175
-0.48167,-2.17138
-0.48073,-2.17103
-0.47979,-2.1707
-0.47885,-2.17041
-0.47791,-2.17014
-0.47697,-2.1699
-0.47603,-2.16968
-0.47509,-2.16948
-0.47415,-2.16931
-0.47321,-2.16916
-0.47227,-2.16904
-0.47133,-2.16893
-0.47039,-2.16885
-0.46945,-2.16878
-0.46852,-2.16874
-0.46758,-2.16871
-0.46664,-2.1687
-0.46570,-2.16871
-0.46476,-2.16874
-0.46382,-2.16878
-0.46288,-2.16884
-0.46194,-2.16891
-0.46100,-2.169
-0.46006,-2.16909
-0.45912,-2.16921
-0.45818,-2.16933
-0.45724,-2.16946
-0.45630,-2.16961
-0.45536,-2.16971
-0.45442,-2.16984
-0.45348,-2.16997
-0.45254,-2.17012
-0.45160,-2.17029
-0.45066,-2.17047
-0.44972,-2.17067
-0.44878,-2.17088
-0.44784,-2.17111
-0.44690,-2.17135
-0.44596,-2.1716
-0.44502,-2.17187
-0.44408,-2.17216
-0.44314,-2.17246
-0.44220,-2.17278
-0.44126,-2.17311
-0.44032,-2.17346
-0.43938,-2.17382
-0.43844,-2.17397
-0.43750,-2.17391
-0.43656,-2.17386
-0.43562,-2.17413
-0.43468,-2.17436
-0.43374,-2.17427
-0.43280,-2.17419
-0.43186,-2.17412
-0.43092,-2.17411
-0.42998,-2.17411
-0.42904,-2.17413
-0.42810,-2.17416
-0.42716,-2.17413
-0.42622,-2.17411
-0.42528,-2.1741
-0.42434,-2.17408
-0.42340,-2.17428
-0.42246,-2.1745
-0.42152,-2.17452
-0.42058,-2.17467
-0.41964,-2.17502
-0.41870,-2.17504
-0.41776,-2.17486
-0.41682,-2.17469
-0.41588,-2.1749
-0.41494,-2.17536
-0.41400,-2.17573
-0.41306,-2.17612
-0.41212,-2.17651
-0.41118,-2.17692
-0.41024,-2.17734
-0.40930,-2.17757
-0.40836,-2.17784
-0.40742,-2.17819
-0.40648,-2.17857
-0.40555,-2.17897
-0.40461,-2.17939
-0.40367,-2.17984
-0.40273,-2.18008
-0.40179,-2.18022
-0.40085,-2.18036
-0.39991,-2.18056
-0.39897,-2.18092
-0.39803,-2.18129
-0.39709,-2.18155
-0.39615,-2.18162
-0.39521,-2.18182
-0.39427,-2.182
-0.39333,-2.18221
-0.39239,-2.1825
-0.39145,-2.18288
-0.39051,-2.18328
-0.38957,-2.18371
-0.38863,-2.18417
-0.38769,-2.18487
-0.38675,-2.18562
-0.38581,-2.1862
-0.38487,-2.18708
-0.38393,-2.18795
-0.38299,-2.1888
-0.38205,-2.18962
-0.38111,-2.19041
-0.38017,-2.19118
-0.37923,-2.19162
-0.37829,-2.19208
