# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 15 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
-0.37735,-2.19254
-0.37641,-2.19301
-0.37547,-2.19369
-0.37453,-2.19434
-0.37359,-2.19496
-0.37265,-2.19557
-0.37171,-2.19594
-0.37077,-2.19632
-0.36983,-2.19688
-0.36889,-2.19742
-0.36795,-2.19792
-0.36701,-2.19839
-0.36607,-2.19863
-0.36513,-2.19885
-0.36419,-2.19901
-0.36325,-2.19916
-0.36231,-2.1993
-0.36137,-2.19966
-0.36043,-2.20002
-0.35949,-2.20006
-0.35855,-2.20016
-0.35761,-2.20056
-0.35667,-2.20089
-0.35573,-2.20123
-0.35479,-2.20156
-0.35385,-2.20188
-0.35291,-2.20219
-0.35197,-2.2025
-0.35103,-2.2028
-0.35009,-2.20308
-0.34915,-2.20336
-0.34821,-2.20362
-0.34727,-2.20386
-0.34633,-2.20409
-0.34539,-2.2043
-0.34445,-2.20435
-0.34352,-2.20436
-0.34258,-2.2047
-0.34164,-2.20505
-0.34070,-2.20539
-0.33976,-2.20574
-0.33882,-2.20587
-0.33788,-2.20597
-0.33694,-2.20604
-0.33600,-2.20608
-0.33506,-2.20609
-0.33412,-2.20607
-0.33318,-2.20625
-0.33224,-2.20641
-0.33130,-2.20652
-0.33036,-2.2068
-0.32942,-2.20705
-0.32848,-2.20745
-0.32754,-2.20779
-0.32660,-2.20805
-0.32566,-2.20837
-0.32472,-2.20863
-0.32378,-2.20879
-0.32284,-2.2088
-0.32190,-2.20877
-0.32096,-2.20875
-0.32002,-2.20891
-0.31908,-2.20906
-0.31814,-2.20924
-0.31720,-2.2094
-0.31626,-2.20948
-0.31532,-2.20955
-0.31438,-2.20959
-0.31344,-2.20981
-0.31250,-2.20998
-0.31156,-2.21011
-0.31062,-2.2102
-0.30968,-2.21045
-0.30874,-2.2103
-0.30780,-2.21005
-0.30686,-2.2097
-0.30592,-2.20925
-0.30498,-2.20871
-0.30404,-2.20828
-0.30310,-2.20806
-0.30216,-2.20777
-0.30122,-2.2074
-0.30028,-2.20697
-0.29934,-2.20625
-0.29840,-2.20564
-0.29746,-2.20491
-0.29652,-2.20408
-0.29558,-2.20336
-0.29464,-2.20257
-0.29370,-2.20149
-0.29276,-2.2005
-0.29182,-2.19941
-0.29088,-2.19819
-0.28994,-2.1971
-0.28900,-2.19612
-0.28806,-2.1951
-0.28712,-2.194
-0.28618,-2.19281
-0.28524,-2.19154
-0.28430,-2.19021
-0.28336,-2.189
-0.28242,-2.1876
-0.28148,-2.1861
-0.28055,-2.18457
-0.27961,-2.18317
-0.27867,-2.18166
-0.27773,-2.18007
-0.27679,-2.1784
-0.27585,-2.17705
-0.27491,-2.17558
-0.27397,-2.17419
-0.27303,-2.17267
-0.27209,-2.17103
-0.27115,-2.16928
-0.27021,-2.16742
-0.26927,-2.16546
-0.26833,-2.16342
-0.26739,-2.16129
-0.26645,-2.1591
-0.26551,-2.15684
-0.26457,-2.15452
-0.26363,-2.15216
-0.26269,-2.14976
-0.26175,-2.14732
-0.26081,-2.14507
-0.25987,-2.14278
-0.25893,-2.14046
-0.25799,-2.13811
-0.25705,-2.13596
-0.25611,-2.13377
-0.25517,-2.13177
-0.25423,-2.12951
-0.25329,-2.12719
-0.25235,-2.12461
-0.25141,-2.12217
-0.25047,-2.11966
-0.24953,-2.11788
-0.24859,-2.11594
-0.24765,-2.11425
-0.24671,-2.11247
-0.24577,-2.11093
-0.24483,-2.10913
-0.24389,-2.10741
-0.24295,-2.10546
-0.24201,-2.10239
-0.24107,-2.09926
-0.24013,-2.09627
-0.23919,-2.09323
-0.23825,-2.09023
-0.23731,-2.08696
-0.23637,-2.08372
-0.23543,-2.08043
-0.23449,-2.07733
-0.23355,-2.07395
-0.23261,-2.07048
-0.23167,-2.06695
-0.23073,-2.06337
-0.22979,-2.05975
-0.22885,-2.0561
-0.22791,-2.05222
-0.22697,-2.04851
-0.22603,-2.04476
-0.22509,-2.04099
-0.22415,-2.03721
-0.22321,-2.03368
-0.22227,-2.02991
-0.22133,-2.0274
-0.22039,-2.02472
-0.21945,-2.02208
-0.21852,-2.01927
-0.21758,-2.0165
-0.21664,-2.01336
-0.21570,-2.01069
-0.21476,-2.0078
-0.21382,-2.00589
-0.21288,-2.00341
-0.21194,-2.00079
-0.21100,-1.99782
-0.21006,-1.99454
-0.20912,-1.99096
-0.20818,-1.98731
-0.20724,-1.98316
-0.20630,-1.97809
-0.20536,-1.97285
-0.20442,-1.96807
-0.20348,-1.96287
-0.20254,-1.95751
-0.20160,-1.95197
-0.20066,-1.94687
-0.19972,-1.9411
-0.19878,-1.93509
-0.19784,-1.92865
-0.19690,-1.92199
-0.19596,-1.91513
-0.19502,-1.90791
-0.19408,-1.90056
-0.19314,-1.89312
-0.19220,-1.8856
-0.19126,-1.87804
-0.19032,-1.87045
-0.18938,-1.86285
-0.18844,-1.85527
-0.18750,-1.84813
-0.18656,-1.84101
-0.18562,-1.83388
-0.18468,-1.8266
-0.18374,-1.82052
-0.18280,-1.81439
-0.18186,-1.80803
-0.18092,-1.80147
-0.17998,-1.79483
-0.17904,-1.78804
-0.17810,-1.78151
-0.17716,-1.77504
-0.17622,-1.77183
-0.17528,-1.76811
-0.17434,-1.76431
-0.17340,-1.75933
-0.17246,-1.75326
-0.17152,-1.74653
-0.17058,-1.73966
-0.16964,-1.73211
-0.16870,-1.72452
-0.16776,-1.71638
-0.16682,-1.70828
-0.16588,-1.70097
-0.16494,-1.69411
-0.16400,-1.68687
-0.16306,-1.6795
-0.16212,-1.67192
-0.16118,-1.66426
-0.16024,-1.65644
-0.15930,-1.64879
-0.15836,-1.64083
-0.15742,-1.63306
-0.15648,-1.62528
-0.15555,-1.61841
-0.15461,-1.61148
-0.15367,-1.60463
-0.15273,-1.59778
-0.15179,-1.59157
-0.15085,-1.58512
-0.14991,-1.5807
-0.14897,-1.57607
-0.14803,-1.57144
-0.14709,-1.5664
-0.14615,-1.56088
-0.14521,-1.55385
-0.14427,-1.54645
-0.14333,-1.53872
-0.14239,-1.53098
-0.14145,-1.52295
-0.14051,-1.51729
-0.13957,-1.51057
-0.13863,-1.50307
-0.13769,-1.49394
-0.13675,-1.48416
-0.13581,-1.47382
-0.13487,-1.46316
-0.13393,-1.45222
-0.13299,-1.44102
-0.13205,-1.42939
-0.13111,-1.41741
-0.13017,-1.40601
-0.12923,-1.39479
-0.12829,-1.38287
-0.12735,-1.3711
-0.12641,-1.35923
-0.12547,-1.34795
-0.12453,-1.33593
-0.12359,-1.32403
-0.12265,-1.31204
-0.12171,-1.3002
-0.12077,-1.28832
-0.11983,-1.27666
-0.11889,-1.26523
-0.11795,-1.25383
-0.11701,-1.24256
-0.11607,-1.23136
-0.11513,-1.22038
-0.11419,-1.21219
-0.11325,-1.20398
-0.11231,-1.19612
-0.11137,-1.18784
-0.11043,-1.17998
-0.10949,-1.17218
-0.10855,-1.16484
-0.10761,-1.15627
-0.10667,-1.1503
-0.10573,-1.14423
-0.10479,-1.1379
-0.10385,-1.13149
-0.10291,-1.12516
-0.10197,-1.1185
-0.10103,-1.11197
-0.10009,-1.10181
-0.09915,-1.09143
-0.09821,-1.08045
-0.09727,-1.06929
-0.09633,-1.05863
-0.09539,-1.04775
-0.09445,-1.03661
-0.09352,-1.02556
-0.09258,-1.01419
-0.09164,-1.00235
-0.09070,-0.990204
-0.08976,-0.978487
-0.08882,-0.96618
-0.08788,-0.954075
-0.08694,-0.941994
-0.08600,-0.930182
-0.08506,-0.918461
-0.08412,-0.906868
-0.08318,-0.895238
-0.08224,-0.884518
-0.08130,-0.873737
-0.08036,-0.86324
-0.07942,-0.85195
-0.07848,-0.841852
-0.07754,-0.831701
-0.07660,-0.822435
-0.07566,-0.812537
-0.07472,-0.804396
-0.07378,-0.79382
-0.07284,-0.78252
-0.07190,-0.770735
-0.07096,-0.758789
-0.07002,-0.747009
-0.06908,-0.735196
-0.06814,-0.723509
-0.06720,-0.712347
-0.06626,-0.701028
-0.06532,-0.690895
-0.06438,-0.677899
-0.06344,-0.664719
-0.06250,-0.651628
-0.06156,-0.638474
-0.06062,-0.625364
-0.05968,-0.611701
-0.05874,-0.597983
-0.05780,-0.584905
-0.05686,-0.571787
-0.05592,-0.559145
-0.05498,-0.546672
-0.05404,-0.534354
-0.05310,-0.521927
-0.05216,-0.510139
-0.05122,-0.498257
-0.05028,-0.489215
-0.04934,-0.479365
-0.04840,-0.469165
-0.04746,-0.458674
-0.04652,-0.448149
-0.04558,-0.437425
-0.04464,-0.425763
-0.04370,-0.41412
-0.04276,-0.403542
-0.04182,-0.393243
-0.04088,-0.383628
-0.03994,-0.374417
-0.03900,-0.366763
-0.03806,-0.356512
-0.03712,-0.345853
-0.03618,-0.334897
-0.03524,-0.324042
-0.03430,-0.312891
-0.03336,-0.302687
-0.03242,-0.292134
-0.03148,-0.282394
-0.03055,-0.269735
-0.02961,-0.256917
-0.02867,-0.243893
-0.02773,-0.230312
-0.02679,-0.216444
-0.02585,-0.202729
-0.02491,-0.188762
-0.02397,-0.176526
-0.02303,-0.163877
-0.02209,-0.152566
-0.02115,-0.140722
-0.02021,-0.128532
-0.01927,-0.116131
-0.01833,-0.103961
-0.01739,-0.0913901
-0.01645,-0.0786808
-0.01551,-0.066336
-0.01457,-0.0542118
-0.01363,-0.041689
-0.01269,-0.0290206
-0.01175,-0.0162601
-0.01081,-0.00385796
-0.00987,0.0085821
-0.00893,0.0198147
-0.00799,0.0308978
-0.00705,0.0415856
-0.00611,0.0528434
-0.00517,0.0637133
-0.00423,0.0744775
-0.00329,0.0849817
-0.00235,0.0963518
-0.00141,0.107032
-0.00047,0.118384
0.00047,0.12824
0.00141,0.140022
0.00235,0.150346
0.00329,0.160564
0.00423,0.170371
0.00517,0.180498
0.00611,0.190471
0.00705,0.200704
0.00799,0.210481
0.00893,0.220992
0.00987,0.23226
0.01081,0.24487
0.01175,0.257229
0.01269,0.269903
0.01363,0.282443
0.01457,0.295245
0.01551,0.307859
0.01645,0.320008
0.01739,0.332035
0.01833,0.344616
0.01927,0.357055
0.02021,0.369824
0.02115,0.382408
0.02209,0.394849
0.02303,0.406816
0.02397,0.419045
0.02491,0.431239
0.02585,0.446104
0.02679,0.458779
0.02773,0.471412
0.02867,0.483805
0.02961,0.496303
0.03055,0.508461
0.03148,0.519554
0.03242,0.530124
0.03336,0.541468
0.03430,0.55244
0.03524,0.563775
0.03618,0.572787
0.03712,0.583297
0.03806,0.594058
0.03900,0.604564
0.03994,0.61496
0.04088,0.625412
0.04182,0.635765
0.04276,0.646973
0.04370,0.658685
0.04464,0.671091
0.04558,0.68323
0.04652,0.695367
0.04746,0.706884
0.04840,0.717828
0.04934,0.727637
0.05028,0.737505
0.05122,0.747175
0.05216,0.75856
0.05310,0.769672
0.05404,0.782386
0.05498,0.795549
0.05592,0.808595
0.05686,0.821541
0.05780,0.834794
0.05874,0.847711
0.05968,0.860475
0.06062,0.872841
0.06156,0.885214
0.06250,0.897415
0.06344,0.909102
0.06438,0.920564
0.06532,0.93183
0.06626,0.940817
0.06720,0.95068
0.06814,0.960181
0.06908,0.969721
0.07002,0.97962
0.07096,0.98942
0.07190,0.99876
0.07284,1.00773
0.07378,1.01449
0.07472,1.02154
0.07566,1.02699
0.07660,1.03384
0.07754,1.04133
0.07848,1.05052
0.07942,1.05999
0.08036,1.07015
0.08130,1.08015
0.08224,1.09055
0.08318,1.10069
0.08412,1.11149
0.08506,1.12194
0.08600,1.13176
0.08694,1.14149
0.08788,1.15154
0.08882,1.16153
0.08976,1.17164
0.09070,1.18144
0.09164,1.19132
0.09258,1.20107
0.09352,1.21062
0.09445,1.21975
0.09539,1.22865
0.09633,1.23706
0.09727,1.24517
0.09821,1.25278
0.09915,1.26025
0.10009,1.26638
0.10103,1.27194
0.10197,1.2759
0.10291,1.28202
0.10385,1.28773
0.10479,1.29383
0.10573,1.29973
0.10667,1.30606
0.10761,1.31238
0.10855,1.3191
0.10949,1.32539
0.11043,1.33198
0.11137,1.33835
0.11231,1.34721
0.11325,1.35628
0.11419,1.36553
0.11513,1.37492
0.11607,1.38466
0.11701,1.3947
0.11795,1.4049
0.11889,1.41512
0.11983,1.42478
0.12077,1.43433
0.12171,1.44396
0.12265,1.45345
0.12359,1.46331
0.12453,1.47302
0.12547,1.48358
0.12641,1.49384
0.12735,1.50401
0.12829,1.51386
0.12923,1.52381
0.13017,1.53362
0.13111,1.54283
0.13205,1.55178
0.13299,1.56047
0.13393,1.56845
0.13487,1.57637
0.13581,1.58382
0.13675,1.5912
0.13769,1.5973
0.13863,1.60311
0.13957,1.60857
0.14051,1.6136
0.14145,1.61715
0.14239,1.62256
0.14333,1.62776
0.14427,1.63316
0.14521,1.63833
0.14615,1.64283
0.14709,1.64718
0.14803,1.65148
0.14897,1.65558
0.14991,1.66147
0.15085,1.66732
0.15179,1.67468
0.15273,1.68214
0.15367,1.689
0.15461,1.69582
0.15555,1.70235
0.15648,1.70877
0.15742,1.71527
0.15836,1.72162
0.15930,1.72814
0.16024,1.73451
0.16118,1.74117
0.16212,1.74769
0.16306,1.75409
0.16400,1.76011
0.16494,1.76593
0.16588,1.77154
0.16682,1.77713
0.16776,1.78247
0.16870,1.78755
0.16964,1.79175
0.17058,1.79593
0.17152,1.79987
0.17246,1.80378
0.17340,1.80722
0.17434,1.8106
0.17528,1.81358
0.17622,1.81738
0.17716,1.82134
0.17810,1.82648
0.17904,1.83143
0.17998,1.83674
0.18092,1.842
0.18186,1.8474
0.18280,1.85244
0.18374,1.85745
0.18468,1.8622
0.18562,1.86735
0.18656,1.87229
0.18750,1.87745
0.18844,1.88262
0.18938,1.88778
0.19032,1.89292
0.19126,1.89801
0.19220,1.90285
0.19314,1.90741
0.19408,1.91189
0.19502,1.91626
0.19596,1.9205
0.19690,1.92459
0.19784,1.92833
0.19878,1.93191
0.19972,1.93532
0.20066,1.93855
0.20160,1.94156
0.20254,1.94458
0.20348,1.94738
0.20442,1.95017
0.20536,1.95274
0.20630,1.95506
0.20724,1.95693
0.20818,1.95855
0.20912,1.9599
0.21006,1.96141
0.21100,1.96268
0.21194,1.96388
0.21288,1.96482
0.21382,1.96659
0.21476,1.9682
0.21570,1.96976
0.21664,1.97114
0.21758,1.97363
0.21852,1.97609
0.21945,1.97872
0.22039,1.98113
0.22133,1.98375
0.22227,1.98638
0.22321,1.989
0.22415,1.99162
0.22509,1.99422
0.22603,1.99659
0.22697,1.99896
0.22791,2.00132
0.22885,2.00365
0.22979,2.00595
0.23073,2.00822
0.23167,2.01043
0.23261,2.01259
0.23355,2.01468
0.23449,2.01669
0.23543,2.01863
0.23637,2.02048
0.23731,2.02222
0.23825,2.02386
0.23919,2.02539
0.24013,2.02702
0.24107,2.02854
0.24201,2.02994
0.24295,2.03123
0.24389,2.03239
0.24483,2.03341
0.24577,2.03496
0.24671,2.03664
0.24765,2.03822
0.24859,2.03949
0.24953,2.04089
0.25047,2.04224
0.25141,2.04366
0.25235,2.04502
0.25329,2.04594
0.25423,2.04675
0.25517,2.04755
0.25611,2.04824
0.25705,2.04882
0.25799,2.04927
0.25893,2.04993
0.25987,2.0504
0.26081,2.051
0.26175,2.05155
0.26269,2.05225
0.26363,2.05293
0.26457,2.05355
0.26551,2.0544
0.26645,2.05516
0.26739,2.05582
0.26833,2.05661
0.26927,2.05732
0.27021,2.05796
0.27115,2.05852
0.27209,2.059
0.27303,2.0594
0.27397,2.05993
0.27491,2.06041
0.27585,2.06083
0.27679,2.06119
0.27773,2.06148
0.27867,2.06176
0.27961,2.06196
0.28055,2.0621
0.28148,2.06215
0.28242,2.06214
0.28336,2.06227
0.28430,2.06245
0.28524,2.06256
0.28618,2.06306
0.28712,2.06344
0.28806,2.0633
0.28900,2.06309
0.28994,2.06281
0.29088,2.06247
0.29182,2.06225
0.29276,2.06194
0.29370,2.06154
0.29464,2.06104
0.29558,2.06046
0.29652,2.06001
0.29746,2.05949
0.29840,2.05891
0.29934,2.05827
0.30028,2.05757
0.30122,2.05681
0.30216,2.05622
0.30310,2.0556
0.30404,2.05495
0.30498,2.05428
0.30592,2.05358
0.30686,2.05287
0.30780,2.05213
0.30874,2.05137
0.30968,2.0506
0.31062,2.04982
0.31156,2.04902
0.31250,2.04822
0.31344,2.0474
0.31438,2.04658
0.31532,2.04576
0.31626,2.04513
0.31720,2.04448
0.31814,2.0438
0.31908,2.0431
0.32002,2.04239
0.32096,2.04166
0.32190,2.04072
0.32284,2.03956
0.32378,2.0386
0.32472,2.03783
0.32566,2.03706
0.32660,2.03628
0.32754,2.0357
0.32848,2.03509
0.32942,2.03422
0.33036,2.03337
0.33130,2.0328
0.33224,2.03222
0.33318,2.03163
0.33412,2.03103
0.33506,2.0304
0.33600,2.02989
0.33694,2.0294
0.33788,2.02893
0.33882,2.02848
0.33976,2.02804
0.34070,2.02764
0.34164,2.02694
0.34258,2.02625
0.34352,2.02556
0.34445,2.02488
0.34539,2.0242
0.34633,2.02348
0.34727,2.02278
0.34821,2.0221
0.34915,2.02145
0.35009,2.02082
0.35103,2.02022
0.35197,2.02009
0.35291,2.01994
0.35385,2.01978
0.35479,2.01954
0.35573,2.01928
0.35667,2.019
0.35761,2.01871
0.35855,2.01842
0.35949,2.01812
0.36043,2.0177
0.36137,2.01728
0.36231,2.01634
0.36325,2.01534
0.36419,2.01473
0.36513,2.01411
0.36607,2.01349
0.36701,2.01267
0.36795,2.01165
0.36889,2.01064
0.36983,2.00963
0.37077,2.00863
0.37171,2.00764
0.37265,2.00667
0.37359,2.0057
0.37453,2.00476
0.37547,2.00383
0.37641,2.00292
0.37735,2.00204
0.37829,2.00118
0.37923,2.00034
0.38017,1.99953
0.38111,1.99875
0.38205,1.99801
0.38299,1.99729
0.38393,1.99661
0.38487,1.99597
0.38581,1.99537
0.38675,1.99481
0.38769,1.99429
0.38863,1.99382
0.38957,1.99364
0.39051,1.99349
0.39145,1.99335
0.39239,1.993
0.39333,1.99266
0.39427,1.99232
0.39521,1.99213
0.39615,1.99192
0.39709,1.99151
0.39803,1.99133
0.39897,1.9912
0.39991,1.9909
0.40085,1.99062
0.40179,1.99036
0.40273,1.99033
0.40367,1.99008
0.40461,1.98961
0.40555,1.98942
0.40648,1.98928
0.40742,1.98888
0.40836,1.98848
0.40930,1.9881
0.41024,1.98773
0.41118,1.9874
0.41212,1.98708
0.41306,1.98679
0.41400,1.98651
0.41494,1.98625
0.41588,1.98622
0.41682,1.98618
0.41776,1.98615
0.41870,1.98612
0.41964,1.98609
0.42058,1.98606
0.42152,1.98585
0.42246,1.98573
0.42340,1.98585
0.42434,1.98599
0.42528,1.98595
0.42622,1.98596
0.42716,1.98603
0.42810,1.98563
0.42904,1.98553
0.42998,1.98539
0.43092,1.9852
0.43186,1.98497
0.43280,1.9844
0.43374,1.98382
0.43468,1.98324
0.43562,1.98266
0.43656,1.98208
0.43750,1.98149
0.43844,1.9809
0.43938,1.98031
0.44032,1.97971
0.44126,1.97911
0.44220,1.97831
0.44314,1.97776
0.44408,1.97725
0.44502,1.9768
0.44596,1.97639
0.44690,1.97603
0.44784,1.97573
0.44878,1.97546
0.44972,1.97525
0.45066,1.97509
0.45160,1.97498
0.45254,1.97491
0.45348,1.97489
0.45442,1.97492
0.45536,1.975
0.45630,1.97513
0.45724,1.97531
0.45818,1.97545
0.45912,1.97561
0.46006,1.9758
0.46100,1.97601
0.46194,1.97625
0.46288,1.97651
0.46382,1.97679
0.46476,1.9771
0.46570,1.97743
0.46664,1.97778
0.46758,1.97816
0.46852,1.97855
0.46945,1.97897
0.47039,1.97942
0.47133,1.97988
0.47227,1.98036
0.47321,1.98087
0.47415,1.98139
0.47509,1.98194
0.47603,1.98251
0.47697,1.98309
0.47791,1.9837
0.47885,1.98432
0.47979,1.98497
0.48073,1.98563
0.48167,1.98631
0.48261,1.98701
0.48355,1.98773
0.48449,1.98847
0.48543,1.98922
0.48637,1.98999
0.48731,1.99078
0.48825,1.99158
0.48919,1.9924
0.49013,1.99323
0.49107,1.99409
0.49201,1.99495
0.49295,1.99584
0.49389,1.99673
0.49483,1.99764
