# Gartling (1990) BFS benchmark, Re = 800, digitised from Chan & Mittal
# fig.3; station x = 7; interpolated to a uniform y grid
y,u,v,omega
0.1700,0.281297,-0.00310674,2.98375
0.1750,0.270006,-0.00299012,2.92215
0.1800,0.2557,-0.00287573,2.86064
0.1850,0.241716,-0.00276331,2.78658
0.1900,0.225079,-0.00266049,2.71187
0.1950,0.209158,-0.00257727,2.63191
0.2000,0.19564,-0.00251196,2.55444
0.2050,0.182214,-0.00246138,2.48628
0.2100,0.171596,-0.00241832,2.41721
0.2150,0.161418,-0.00236214,2.35775
0.2200,0.148516,-0.00229442,2.2934
0.2250,0.13637,-0.00223756,2.21372
0.2300,0.124271,-0.00219505,2.13927
0.2350,0.112307,-0.00215764,2.06931
0.2400,0.102167,-0.0021264,1.99912
0.2450,0.0945871,-0.00211089,1.93623
0.2500,0.0877431,-0.00210032,1.8766
0.2550,0.0802865,-0.00209068,1.82034
0.2600,0.0711567,-0.00207974,1.76891
0.2650,0.062921,-0.00206879,1.70669
0.2700,0.0551037,-0.00206045,1.64328
0.2750,0.0475472,-0.00205431,1.57895
0.2800,0.0410877,-0.00204396,1.51346
0.2850,0.0354918,-0.00202834,1.45561
0.2900,0.0302813,-0.00200382,1.40103
0.2950,0.0252295,-0.00197368,1.34037
0.3000,0.0192077,-0.00194744,1.2788
0.3050,0.0116805,-0.00192452,1.21053
0.3100,0.00491258,-0.00190647,1.12776
0.3150,-0.000587187,-0.00188467,1.04641
0.3200,-0.00556383,-0.0018546,0.979368
0.3250,-0.0106374,-0.0018146,0.916615
0.3300,-0.0169624,-0.00176675,0.863725
0.3350,-0.021739,-0.00171483,0.796172
0.3400,-0.0256791,-0.00166237,0.731941
0.3450,-0.0288409,-0.00160922,0.66885
0.3500,-0.0305133,-0.0015597,0.616326
0.3550,-0.0319726,-0.00150832,0.580676
0.3600,-0.0328154,-0.00145236,0.537188
0.3650,-0.0348785,-0.00139296,0.491249
0.3700,-0.0369923,-0.00133576,0.428745
0.3750,-0.0392128,-0.00127858,0.357349
0.3800,-0.0408434,-0.00121732,0.285624
0.3850,-0.0424612,-0.00115749,0.218675
0.3900,-0.0440683,-0.00109487,0.159814
0.3950,-0.045102,-0.001027,0.111221
0.4000,-0.0462735,-0.000955829,0.076388
0.4050,-0.0463508,-0.000889598,0.0194648
0.4100,-0.0456523,-0.00082491,-0.039485
0.4150,-0.0446407,-0.000760032,-0.102426
0.4200,-0.043604,-0.000695664,-0.162147
0.4250,-0.0423916,-0.000635868,-0.20682
0.4300,-0.0404307,-0.000581626,-0.256981
0.4350,-0.0383784,-0.00052703,-0.312077
0.4400,-0.0363514,-0.000476075,-0.37256
0.4450,-0.0338238,-0.000437916,-0.437677
0.4500,-0.0313627,-0.000406311,-0.500256
0.4550,-0.0284049,-0.000378828,-0.560677
0.4600,-0.0252956,-0.000351488,-0.620318
0.4650,-0.022032,-0.000318691,-0.673276
0.4700,-0.0186015,-0.000288363,-0.726369
0.4750,-0.0150289,-0.000260614,-0.78049
0.4800,-0.0113381,-0.000235506,-0.83656
0.4850,-0.00755478,-0.000213246,-0.895473
0.4900,-0.00370391,-0.000193919,-0.95812
0.4950,5.01503e-05,-0.00017759,-1.02299
0.5000,5.01503e-05,-0.000167823,-1.02299
