# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = u
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,u
-0.24247,0.972439
-0.24153,0.974047
-0.24058,0.975851
-0.23964,0.977808
-0.23870,0.979997
-0.23776,0.982191
-0.23682,0.984523
-0.23588,0.986784
-0.23493,0.989021
-0.23399,0.9912
-0.23305,0.993326
-0.23211,0.995351
-0.23117,0.997549
-0.23023,0.999648
-0.22928,1.00189
-0.22834,1.00411
-0.22740,1.00618
-0.22646,1.00819
-0.22552,1.01009
-0.22458,1.0119
-0.22363,1.01389
-0.22269,1.01581
-0.22175,1.01806
-0.22081,1.02023
-0.21987,1.02242
-0.21893,1.02447
-0.21798,1.02649
-0.21704,1.02836
-0.21610,1.03014
-0.21516,1.03182
-0.21422,1.03351
-0.21328,1.0351
-0.21234,1.03691
-0.21139,1.03853
-0.21045,1.04013
-0.20951,1.04151
-0.20857,1.04288
-0.20763,1.04424
-0.20669,1.04564
-0.20574,1.04701
-0.20480,1.04859
-0.20386,1.05011
-0.20292,1.05162
-0.20198,1.05303
-0.20104,1.05447
-0.20009,1.05584
-0.19915,1.05701
-0.19821,1.05816
-0.19727,1.05947
-0.19633,1.06074
-0.19539,1.06246
-0.19444,1.06418
-0.19350,1.06595
-0.19256,1.06773
-0.19162,1.06955
-0.19068,1.0714
-0.18974,1.07333
-0.18879,1.0752
-0.18785,1.07711
-0.18691,1.07897
-0.18597,1.08076
-0.18503,1.08251
-0.18409,1.08411
-0.18315,1.08564
-0.18220,1.08711
-0.18126,1.08846
-0.18032,1.08973
-0.17938,1.09099
-0.17844,1.09243
-0.17750,1.09377
-0.17655,1.09507
-0.17561,1.0963
-0.17467,1.09753
-0.17373,1.09868
-0.17279,1.09981
-0.17185,1.10087
-0.17090,1.10201
-0.16996,1.10312
-0.16902,1.10443
-0.16808,1.1058
-0.16714,1.10717
-0.16620,1.10848
-0.16525,1.10996
-0.16431,1.11139
-0.16337,1.11259
-0.16243,1.11371
-0.16149,1.11472
-0.16055,1.11567
-0.15960,1.1166
-0.15866,1.11743
-0.15772,1.11821
-0.15678,1.11885
-0.15584,1.11948
-0.15490,1.12003
-0.15395,1.12059
-0.15301,1.12109
-0.15207,1.12153
-0.15113,1.12196
-0.15019,1.12231
-0.14925,1.12259
-0.14831,1.12279
-0.14736,1.12292
-0.14642,1.12296
-0.14548,1.12305
-0.14454,1.12309
