# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 15 behind the step; quantity = v
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,v
-0.49389,8.47512e-06
-0.49294,4.48198e-06
-0.49200,6.21454e-07
-0.49106,-3.11458e-06
-0.49012,-6.73424e-06
-0.48918,-1.02457e-05
-0.48824,-1.36569e-05
-0.48730,-1.69762e-05
-0.48636,-2.02116e-05
-0.48542,-2.33712e-05
-0.48448,-2.64632e-05
-0.48354,-2.94956e-05
-0.48260,-3.24766e-05
-0.48166,-3.54144e-05
-0.48071,-3.83169e-05
-0.47977,-4.11925e-05
-0.47883,-4.40491e-05
-0.47789,-4.68949e-05
-0.47695,-4.9738e-05
-0.47601,-5.25866e-05
-0.47507,-5.54487e-05
-0.47413,-5.83325e-05
-0.47319,-6.12461e-05
-0.47225,-6.41977e-05
-0.47131,-6.71952e-05
-0.47037,-7.0247e-05
-0.46943,-7.3361e-05
-0.46849,-7.65454e-05
-0.46754,-7.98084e-05
-0.46660,-8.3158e-05
-0.46566,-8.66023e-05
-0.46472,-9.01496e-05
-0.46378,-9.38078e-05
-0.46284,-9.75852e-05
-0.46190,-0.00010149
-0.46096,-0.00010553
-0.46002,-0.000109713
-0.45908,-0.000114048
-0.45814,-0.000118543
-0.45720,-0.000123206
-0.45626,-0.000128045
-0.45532,-0.000134507
-0.45437,-0.000140715
-0.45343,-0.000147293
-0.45249,-0.000154039
-0.45155,-0.000161116
-0.45061,-0.000168097
-0.44967,-0.000175848
-0.44873,-0.000183941
-0.44779,-0.000192345
-0.44685,-0.000201028
-0.44591,-0.000210186
-0.44497,-0.000219986
-0.44403,-0.00022995
-0.44309,-0.000239849
-0.44214,-0.000249879
-0.44120,-0.000259811
-0.44026,-0.00026984
-0.43932,-0.000279736
-0.43838,-0.000289695
-0.43744,-0.000299838
-0.43650,-0.000309962
-0.43556,-0.000318588
-0.43462,-0.000327543
-0.43368,-0.000336296
-0.43274,-0.000345149
-0.43180,-0.000353966
-0.43086,-0.000363051
-0.42992,-0.000372665
-0.42897,-0.000382212
-0.42803,-0.00038992
-0.42709,-0.000397942
-0.42615,-0.000404002
-0.42521,-0.000410363
-0.42427,-0.000416779
-0.42333,-0.000424556
-0.42239,-0.000433103
-0.42145,-0.000442324
-0.42051,-0.000451879
-0.41957,-0.000461843
-0.41863,-0.000471579
-0.41769,-0.000481667
-0.41675,-0.000491415
-0.41580,-0.00050135
-0.41486,-0.000511186
-0.41392,-0.000521158
-0.41298,-0.000531223
-0.41204,-0.000541754
-0.41110,-0.000552145
-0.41016,-0.000562671
-0.40922,-0.000573209
-0.40828,-0.000583718
-0.40734,-0.000593759
-0.40640,-0.00060374
-0.40546,-0.000613972
-0.40452,-0.000624237
-0.40357,-0.000633787
-0.40263,-0.000643155
-0.40169,-0.000650965
-0.40075,-0.00065868
-0.39981,-0.000665126
-0.39887,-0.000671978
-0.39793,-0.000677828
-0.39699,-0.000683655
-0.39605,-0.000689058
-0.39511,-0.000696516
-0.39417,-0.000704687
-0.39323,-0.000713414
-0.39229,-0.000721905
-0.39135,-0.000730679
-0.39040,-0.000737651
-0.38946,-0.00074564
-0.38852,-0.0007541
-0.38758,-0.000764389
-0.38664,-0.000775421
-0.38570,-0.000786928
-0.38476,-0.00079847
-0.38382,-0.000810232
-0.38288,-0.000822022
-0.38194,-0.000834192
-0.38100,-0.0008465
-0.38006,-0.000858729
-0.37912,-0.000870944
-0.37817,-0.000883812
-0.37723,-0.000896715
-0.37629,-0.000909805
-0.37535,-0.000922672
-0.37441,-0.00093595
-0.37347,-0.000948606
-0.37253,-0.000961274
-0.37159,-0.000973712
-0.37065,-0.000986105
-0.36971,-0.000998212
-0.36877,-0.00100976
-0.36783,-0.00102112
-0.36689,-0.00103245
-0.36595,-0.00104312
-0.36500,-0.00105377
-0.36406,-0.001063
-0.36312,-0.00107228
-0.36218,-0.00108098
-0.36124,-0.00108932
-0.36030,-0.00109711
-0.35936,-0.00110627
-0.35842,-0.00111297
-0.35748,-0.00112014
-0.35654,-0.00112744
-0.35560,-0.00113492
-0.35466,-0.00114223
-0.35372,-0.00114899
-0.35278,-0.00115544
-0.35183,-0.00116371
-0.35089,-0.00117183
-0.34995,-0.00118227
-0.34901,-0.00119295
-0.34807,-0.00120406
-0.34713,-0.00121515
-0.34619,-0.0012259
-0.34525,-0.00123652
-0.34431,-0.00124707
-0.34337,-0.0012578
-0.34243,-0.00126891
-0.34149,-0.00127999
-0.34055,-0.00129152
-0.33960,-0.00130269
-0.33866,-0.00131404
-0.33772,-0.00132527
-0.33678,-0.00133634
-0.33584,-0.00134702
-0.33490,-0.0013577
-0.33396,-0.00136815
-0.33302,-0.00137833
-0.33208,-0.0013872
-0.33114,-0.0013963
-0.33020,-0.00140497
-0.32926,-0.00141302
-0.32832,-0.00142013
-0.32738,-0.00142753
-0.32643,-0.00143461
-0.32549,-0.00144288
-0.32455,-0.00145039
-0.32361,-0.00145904
-0.32267,-0.00146658
-0.32173,-0.00147528
-0.32079,-0.00148412
-0.31985,-0.00149351
-0.31891,-0.00150353
-0.31797,-0.00151294
-0.31703,-0.00152226
-0.31609,-0.00153179
-0.31515,-0.00154099
-0.31421,-0.00155214
-0.31326,-0.00156315
-0.31232,-0.001574
-0.31138,-0.00158465
