# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 15 behind the step; quantity = u
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,u
-0.49387,0.0102662
-0.49292,0.013176
-0.49198,0.0160182
-0.49104,0.018795
-0.49009,0.0215083
-0.48915,0.0241602
-0.48821,0.0267527
-0.48726,0.0292878
-0.48632,0.0317676
-0.48538,0.034194
-0.48443,0.0365691
-0.48349,0.038895
-0.48255,0.0411737
-0.48160,0.0434071
-0.48066,0.0455974
-0.47972,0.0477464
-0.47877,0.0498564
-0.47783,0.0519293
-0.47689,0.0539671
-0.47594,0.0559718
-0.47500,0.0579456
-0.47406,0.0598903
-0.47311,0.0618081
-0.47217,0.0637009
-0.47123,0.0655708
-0.47028,0.0674199
-0.46934,0.0692501
-0.46840,0.0710635
-0.46745,0.072862
-0.46651,0.0746478
-0.46557,0.0764229
-0.46462,0.0781892
-0.46368,0.0799489
-0.46274,0.0817038
-0.46179,0.0834562
-0.46085,0.0852079
-0.45991,0.0869611
-0.45896,0.0887177
-0.45802,0.0904798
-0.45708,0.0922494
-0.45613,0.0940285
-0.45519,0.0962006
-0.45425,0.0981256
-0.45330,0.0999935
-0.45236,0.101962
-0.45142,0.103956
-0.45047,0.105781
-0.44953,0.107846
-0.44858,0.10992
-0.44764,0.112342
-0.44670,0.11483
-0.44575,0.117364
-0.44481,0.119944
-0.44387,0.122607
-0.44292,0.125267
-0.44198,0.127918
-0.44104,0.130513
-0.44009,0.133128
-0.43915,0.135606
-0.43821,0.138096
-0.43726,0.140627
-0.43632,0.143043
-0.43538,0.14542
-0.43443,0.147726
-0.43349,0.149535
-0.43255,0.151565
-0.43160,0.153563
-0.43066,0.155541
-0.42972,0.157584
-0.42877,0.159619
-0.42783,0.161303
-0.42689,0.162952
-0.42594,0.164118
-0.42500,0.165474
-0.42406,0.166853
-0.42311,0.168507
-0.42217,0.170277
-0.42123,0.1723
-0.42028,0.174335
-0.41934,0.176521
-0.41840,0.178717
-0.41745,0.180968
-0.41651,0.183181
-0.41557,0.185412
-0.41462,0.187547
-0.41368,0.189715
-0.41274,0.191852
-0.41179,0.194053
-0.41085,0.196215
-0.40991,0.198425
-0.40896,0.200627
-0.40802,0.202897
-0.40708,0.205075
-0.40613,0.207238
-0.40519,0.209334
-0.40425,0.21136
-0.40330,0.213379
-0.40236,0.215384
-0.40142,0.217036
-0.40047,0.218656
-0.39953,0.220178
-0.39858,0.221644
-0.39764,0.222662
-0.39670,0.224096
-0.39575,0.225515
-0.39481,0.227058
-0.39387,0.22863
-0.39292,0.230305
-0.39198,0.232065
-0.39104,0.2339
-0.39009,0.235306
-0.38915,0.236831
-0.38821,0.238392
-0.38726,0.240494
-0.38632,0.242708
-0.38538,0.244984
-0.38443,0.24735
-0.38349,0.249798
-0.38255,0.252253
-0.38160,0.25478
-0.38066,0.257335
-0.37972,0.259813
-0.37877,0.26228
-0.37783,0.265023
-0.37689,0.267781
-0.37594,0.270442
-0.37500,0.27309
-0.37406,0.275885
-0.37311,0.278634
-0.37217,0.28137
-0.37123,0.283974
-0.37028,0.286521
-0.36934,0.288966
-0.36840,0.291343
-0.36745,0.293642
-0.36651,0.295897
-0.36557,0.298108
-0.36462,0.300298
-0.36368,0.302458
-0.36274,0.304663
-0.36179,0.306337
-0.36085,0.307914
-0.35991,0.309326
-0.35896,0.31068
-0.35802,0.311946
-0.35708,0.313631
-0.35613,0.315232
-0.35519,0.316844
-0.35425,0.317963
-0.35330,0.319013
-0.35236,0.320074
-0.35142,0.321472
-0.35047,0.322862
-0.34953,0.324782
-0.34858,0.326702
-0.34764,0.328695
-0.34670,0.330715
-0.34575,0.332702
-0.34481,0.33469
-0.34387,0.336735
-0.34292,0.338808
-0.34198,0.34092
-0.34104,0.343043
-0.34009,0.34523
-0.33915,0.347417
-0.33821,0.34971
-0.33726,0.35197
-0.33632,0.35426
-0.33538,0.356489
-0.33443,0.358741
-0.33349,0.360971
-0.33255,0.36317
-0.33160,0.365335
-0.33066,0.367534
-0.32972,0.369601
-0.32877,0.371668
-0.32783,0.373534
-0.32689,0.375318
-0.32594,0.37687
-0.32500,0.378709
-0.32406,0.380266
-0.32311,0.381897
-0.32217,0.383475
-0.32123,0.385504
-0.32028,0.387611
-0.31934,0.389798
-0.31840,0.392021
-0.31745,0.394259
-0.31651,0.396486
-0.31557,0.39864
-0.31462,0.400498
-0.31368,0.402851
-0.31274,0.405216
-0.31179,0.407647
-0.31085,0.410116
-0.30991,0.412595
-0.30896,0.415029
-0.30802,0.41746
-0.30708,0.419925
-0.30613,0.422435
-0.30519,0.424896
-0.30425,0.427364
-0.30330,0.429792
-0.30236,0.432224
-0.30142,0.434566
-0.30047,0.436893
-0.29953,0.438844
-0.29858,0.440806
-0.29764,0.442783
-0.29670,0.444789
-0.29575,0.446739
-0.29481,0.448791
-0.29387,0.450898
-0.29292,0.453048
-0.29198,0.455121
-0.29104,0.45719
-0.29009,0.459097
-0.28915,0.460947
-0.28821,0.46259
-0.28726,0.464142
-0.28632,0.465629
-0.28538,0.467558
-0.28443,0.469498
-0.28349,0.471537
-0.28255,0.473468
-0.28160,0.475411
-0.28066,0.477131
-0.27972,0.478914
-0.27877,0.480677
-0.27783,0.482948
-0.27689,0.485318
-0.27594,0.487695
-0.27500,0.490035
-0.27406,0.492414
-0.27311,0.4946
-0.27217,0.496881
-0.27123,0.498905
-0.27028,0.50101
-0.26934,0.503083
-0.26840,0.505233
-0.26745,0.507377
-0.26651,0.509547
-0.26557,0.511697
-0.26462,0.513861
-0.26368,0.51603
-0.26274,0.518194
-0.26179,0.520344
-0.26085,0.522503
-0.25991,0.524633
-0.25896,0.52678
-0.25802,0.528886
-0.25708,0.530944
-0.25613,0.532758
-0.25519,0.53452
-0.25425,0.536193
-0.25330,0.537901
-0.25236,0.539553
-0.25142,0.541308
-0.25047,0.542971
-0.24953,0.544776
-0.24858,0.546538
-0.24764,0.548553
-0.24670,0.550264
-0.24575,0.552052
-0.24481,0.553639
-0.24387,0.555219
-0.24292,0.556696
-0.24198,0.558189
-0.24104,0.559539
-0.24009,0.560937
-0.23915,0.562456
-0.23821,0.564288
-0.23726,0.566117
-0.23632,0.568018
-0.23538,0.56991
-0.23443,0.571825
-0.23349,0.57368
-0.23255,0.575624
-0.23160,0.577509
-0.23066,0.579382
-0.22972,0.581242
-0.22877,0.583146
-0.22783,0.585057
-0.22689,0.586977
-0.22594,0.588833
-0.22500,0.590731
-0.22406,0.592591
-0.22311,0.594801
-0.22217,0.596966
-0.22123,0.599104
-0.22028,0.600917
-0.21934,0.602786
-0.21840,0.60461
-0.21745,0.606361
-0.21651,0.608048
-0.21557,0.609769
-0.21462,0.611423
-0.21368,0.61319
-0.21274,0.614896
-0.21179,0.616763
-0.21085,0.618234
-0.20991,0.619754
-0.20896,0.621275
-0.20802,0.62279
-0.20708,0.624325
-0.20613,0.625956
-0.20519,0.627562
-0.20425,0.629387
-0.20330,0.631311
-0.20236,0.63324
-0.20142,0.635166
-0.20047,0.636997
-0.19953,0.63865
-0.19858,0.640326
-0.19764,0.641867
-0.19670,0.643601
-0.19575,0.645334
-0.19481,0.647361
-0.19387,0.649442
-0.19292,0.651603
-0.19198,0.65377
-0.19104,0.655977
-0.19009,0.65818
-0.18915,0.660413
-0.18821,0.662632
-0.18726,0.66483
-0.18632,0.666962
-0.18538,0.669063
-0.18443,0.67105
-0.18349,0.673002
-0.18255,0.674984
-0.18160,0.676906
-0.18066,0.67847
-0.17972,0.680206
-0.17877,0.68192
-0.17783,0.683646
-0.17689,0.685406
-0.17594,0.687117
-0.17500,0.688735
-0.17406,0.690337
-0.17311,0.691393
-0.17217,0.692443
-0.17123,0.693441
-0.17028,0.694736
-0.16934,0.696134
-0.16840,0.697753
-0.16745,0.6994
-0.16651,0.701173
-0.16557,0.702953
-0.16462,0.704903
-0.16368,0.70681
-0.16274,0.708606
-0.16179,0.710323
-0.16085,0.712056
-0.15991,0.713723
-0.15896,0.715402
-0.15802,0.717068
-0.15708,0.718777
-0.15613,0.720467
-0.15519,0.722192
-0.15425,0.723854
-0.15330,0.725488
-0.15236,0.727087
-0.15142,0.728612
-0.15047,0.730047
-0.14953,0.731459
-0.14858,0.732774
-0.14764,0.734028
-0.14670,0.734881
-0.14575,0.735744
-0.14481,0.736498
-0.14387,0.737566
-0.14292,0.738634
-0.14198,0.739758
-0.14104,0.740948
-0.14009,0.742177
-0.13915,0.743234
-0.13821,0.744342
-0.13726,0.745365
-0.13632,0.746442
-0.13538,0.747511
-0.13443,0.749019
-0.13349,0.750557
-0.13255,0.752164
-0.13160,0.753796
-0.13066,0.755446
-0.12972,0.757111
-0.12877,0.758825
-0.12783,0.760546
-0.12689,0.762185
-0.12594,0.763847
-0.12500,0.765484
-0.12406,0.767091
-0.12311,0.76883
-0.12217,0.770511
-0.12123,0.772296
-0.12028,0.774032
-0.11934,0.775755
-0.11840,0.777461
-0.11745,0.779102
-0.11651,0.78071
-0.11557,0.78228
-0.11462,0.783807
-0.11368,0.785286
-0.11274,0.786711
-0.11179,0.788077
-0.11085,0.789305
-0.10991,0.790516
-0.10896,0.791545
-0.10802,0.792608
-0.10708,0.793608
-0.10613,0.794475
-0.10519,0.795193
-0.10425,0.79618
-0.10330,0.796953
-0.10236,0.797719
-0.10142,0.798472
-0.10047,0.799132
-0.09953,0.799759
-0.09858,0.800388
-0.09764,0.800977
-0.09670,0.802069
-0.09575,0.803174
-0.09481,0.80433
-0.09387,0.805496
-0.09292,0.806563
-0.09198,0.807581
-0.09104,0.808568
-0.09009,0.809537
-0.08915,0.810484
-0.08821,0.811404
-0.08726,0.812356
-0.08632,0.813317
-0.08538,0.814323
-0.08443,0.815296
-0.08349,0.816299
-0.08255,0.81727
-0.08160,0.818204
-0.08066,0.81906
-0.07972,0.819878
-0.07877,0.820652
-0.07783,0.821421
-0.07689,0.822069
-0.07594,0.822676
-0.07500,0.823202
-0.07406,0.823725
-0.07311,0.824206
-0.07217,0.824683
-0.07123,0.825189
-0.07028,0.826013
-0.06934,0.826818
-0.06840,0.827686
-0.06745,0.828541
-0.06651,0.82938
-0.06557,0.83013
-0.06462,0.830784
-0.06368,0.831407
-0.06274,0.832173
-0.06179,0.832929
-0.06085,0.833756
-0.05991,0.834579
-0.05896,0.835395
-0.05802,0.836165
-0.05708,0.836929
-0.05613,0.837683
-0.05519,0.838427
-0.05425,0.839157
-0.05330,0.839872
-0.05236,0.840531
-0.05142,0.841175
-0.05047,0.841838
-0.04953,0.842434
-0.04858,0.842998
-0.04764,0.843527
-0.04670,0.844018
-0.04575,0.844513
-0.04481,0.84497
-0.04387,0.845429
-0.04292,0.845853
-0.04198,0.846237
-0.04104,0.84658
-0.04009,0.846881
-0.03915,0.847136
-0.03821,0.847343
-0.03726,0.8475
-0.03632,0.847606
-0.03538,0.847658
-0.03443,0.847738
-0.03349,0.847769
-0.03255,0.847887
-0.03160,0.848007
-0.03066,0.848105
-0.02972,0.848163
-0.02877,0.848272
-0.02783,0.848349
-0.02689,0.848604
-0.02594,0.848886
-0.02500,0.849153
-0.02406,0.849405
-0.02311,0.849641
-0.02217,0.849898
-0.02123,0.850135
-0.02028,0.850387
-0.01934,0.850613
-0.01840,0.850775
-0.01745,0.850915
-0.01651,0.851033
-0.01557,0.85117
-0.01462,0.851291
-0.01368,0.851393
-0.01274,0.851515
-0.01179,0.851615
-0.01085,0.851691
-0.00991,0.851703
-0.00896,0.851687
-0.00802,0.851643
-0.00708,0.851608
-0.00613,0.851541
-0.00519,0.85144
-0.00425,0.851349
-0.00330,0.85123
-0.00236,0.851083
-0.00142,0.850909
-0.00047,0.850791
0.00047,0.850657
0.00142,0.850547
0.00236,0.850463
0.00330,0.850363
0.00425,0.850398
0.00519,0.850313
0.00613,0.850187
0.00708,0.850018
0.00802,0.849883
0.00896,0.849698
0.00991,0.849399
0.01085,0.849139
0.01179,0.848832
0.01274,0.848505
0.01368,0.848155
0.01462,0.847781
0.01557,0.847433
0.01651,0.847058
0.01745,0.846658
0.01840,0.846275
0.01934,0.845875
0.02028,0.845458
0.02123,0.845026
0.02217,0.84458
0.02311,0.844122
0.02406,0.843694
0.02500,0.843262
0.02594,0.842783
0.02689,0.842336
0.02783,0.841877
0.02877,0.841522
0.02972,0.841144
0.03066,0.840924
0.03160,0.840663
0.03255,0.840381
0.03349,0.840061
0.03443,0.839743
0.03538,0.839385
0.03632,0.839207
0.03726,0.838967
0.03821,0.838745
0.03915,0.838458
0.04009,0.838112
0.04104,0.837708
0.04198,0.837214
0.04292,0.836675
0.04387,0.836132
0.04481,0.835503
0.04575,0.834777
0.04670,0.834017
0.04764,0.833278
0.04858,0.832504
0.04953,0.831774
0.05047,0.830964
0.05142,0.830115
0.05236,0.829231
0.05330,0.828315
0.05425,0.827328
0.05519,0.826312
0.05613,0.825226
0.05708,0.824113
0.05802,0.823017
0.05896,0.821904
0.05991,0.820778
0.06085,0.819643
0.06179,0.818501
0.06274,0.817393
0.06368,0.816239
0.06462,0.815116
0.06557,0.813986
0.06651,0.813001
0.06745,0.811997
0.06840,0.811015
0.06934,0.809974
0.07028,0.808853
0.07123,0.807728
0.07217,0.806589
0.07311,0.805454
0.07406,0.804589
0.07500,0.803701
0.07594,0.803094
0.07689,0.802436
0.07783,0.801733
0.07877,0.800948
0.07972,0.800058
0.08066,0.798974
0.08160,0.797849
0.08255,0.79669
0.08349,0.795536
0.08443,0.794267
0.08538,0.793028
0.08632,0.791822
0.08726,0.79059
0.08821,0.789359
0.08915,0.788151
0.09009,0.78693
0.09104,0.785701
0.09198,0.784416
0.09292,0.783165
0.09387,0.78191
0.09481,0.780695
0.09575,0.779482
0.09670,0.778173
0.09764,0.776891
0.09858,0.775658
0.09953,0.774459
0.10047,0.773702
0.10142,0.772938
0.10236,0.77241
0.10330,0.771815
0.10425,0.771232
0.10519,0.770502
0.10613,0.769741
0.10708,0.768758
0.10802,0.76765
0.10896,0.766499
0.10991,0.765598
0.11085,0.764607
0.11179,0.763569
0.11274,0.762248
0.11368,0.760902
0.11462,0.759411
0.11557,0.757883
0.11651,0.756292
0.11745,0.754569
0.11840,0.752847
0.11934,0.751103
0.12028,0.749291
0.12123,0.747491
0.12217,0.745726
0.12311,0.743911
0.12406,0.742037
0.12500,0.74016
0.12594,0.738202
0.12689,0.736318
0.12783,0.734429
0.12877,0.732616
0.12972,0.730799
0.13066,0.729023
0.13160,0.72725
0.13255,0.725525
0.13349,0.723811
0.13443,0.722068
0.13538,0.720355
0.13632,0.718677
0.13726,0.717041
0.13821,0.7159
0.13915,0.714713
0.14009,0.713581
0.14104,0.712406
0.14198,0.711306
0.14292,0.710038
0.14387,0.709119
0.14481,0.708107
0.14575,0.707082
0.14670,0.706082
0.14764,0.705091
0.14858,0.704087
0.14953,0.703107
0.15047,0.701819
0.15142,0.700532
0.15236,0.698873
0.15330,0.697186
0.15425,0.695434
0.15519,0.693663
0.15613,0.691912
0.15708,0.690114
