# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = v
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,v
-0.07150,-0.0156289
-0.06961,-0.0155233
-0.06773,-0.015414
-0.06585,-0.0153066
-0.06397,-0.0151977
-0.06209,-0.0150896
-0.06021,-0.0149777
-0.05833,-0.014869
-0.05644,-0.0147541
-0.05456,-0.0146422
-0.05268,-0.0145128
-0.05080,-0.0143866
-0.04892,-0.0142576
-0.04704,-0.0141339
-0.04516,-0.0140021
-0.04327,-0.0138704
-0.04139,-0.0137392
-0.03951,-0.0136105
-0.03763,-0.0134911
-0.03575,-0.0133753
-0.03387,-0.013256
-0.03198,-0.013143
-0.03010,-0.0130255
-0.02822,-0.0129115
-0.02634,-0.0127944
-0.02446,-0.0126815
-0.02258,-0.0125645
-0.02070,-0.0124502
-0.01881,-0.0123341
-0.01693,-0.0122206
-0.01505,-0.0121068
-0.01317,-0.0119989
-0.01129,-0.0118851
-0.00941,-0.0117738
-0.00753,-0.0116599
-0.00564,-0.0115493
-0.00376,-0.0114315
-0.00188,-0.0113163
0.00000,-0.0111978
0.00188,-0.0110855
0.00376,-0.0109708
0.00564,-0.0108674
0.00753,-0.0107606
0.00941,-0.0106586
0.01129,-0.0105534
0.01317,-0.0104471
0.01505,-0.0103365
0.01693,-0.0102292
0.01881,-0.0101165
0.02070,-0.0100065
0.02258,-0.00989142
0.02446,-0.00978112
0.02634,-0.00967258
0.02822,-0.00956879
0.03010,-0.00946564
0.03198,-0.00936848
0.03387,-0.00926759
0.03575,-0.00916795
0.03763,-0.00906206
0.03951,-0.00895849
0.04139,-0.00884986
0.04327,-0.00874459
0.04516,-0.00863809
0.04704,-0.0085358
0.04892,-0.00841406
0.05080,-0.0082956
0.05268,-0.00817739
0.05456,-0.00806339
0.05644,-0.00794224
0.05833,-0.00782739
0.06021,-0.00770659
0.06209,-0.00759766
0.06397,-0.00749797
0.06585,-0.00739866
0.06773,-0.00729206
0.06961,-0.00718535
0.07150,-0.00707574
0.07338,-0.0069617
0.07526,-0.00684731
0.07714,-0.00673863
0.07902,-0.00663001
0.08090,-0.00652398
0.08278,-0.00641649
0.08467,-0.00631468
0.08655,-0.00621196
0.08843,-0.00611123
0.09031,-0.00601179
0.09219,-0.00591667
0.09407,-0.00582109
0.09595,-0.00572893
0.09784,-0.00563668
0.09972,-0.00555056
0.10160,-0.00546213
0.10348,-0.00538048
0.10536,-0.0052939
0.10724,-0.0052136
0.10913,-0.00513277
0.11101,-0.00505567
0.11289,-0.00497662
0.11477,-0.00490044
0.11665,-0.004823
0.11853,-0.00474786
0.12041,-0.00466893
0.12230,-0.00459553
0.12418,-0.00452064
0.12606,-0.00445088
0.12794,-0.00437888
0.12982,-0.00431193
0.13170,-0.00424416
0.13358,-0.00417986
0.13547,-0.00411542
0.13735,-0.00405362
0.13923,-0.00398915
0.14111,-0.00392778
0.14299,-0.00386699
0.14487,-0.00380905
0.14675,-0.00375145
0.14864,-0.00369644
0.15052,-0.00364263
0.15240,-0.00359277
0.15428,-0.00354038
0.15616,-0.00349219
0.15804,-0.00343538
0.15992,-0.00338172
0.16181,-0.00332499
0.16369,-0.00327061
0.16557,-0.00321978
0.16745,-0.00317136
0.16933,-0.00312275
0.17121,-0.00307765
0.17310,-0.00303289
0.17498,-0.00299067
0.17686,-0.0029467
0.17874,-0.00290465
0.18062,-0.00286149
0.18250,-0.00282025
0.18438,-0.00277704
0.18627,-0.00273513
0.18815,-0.00269637
0.19003,-0.00265995
0.19191,-0.00262601
0.19379,-0.00259572
0.19567,-0.002567
0.19755,-0.00254199
0.19944,-0.00251803
0.20132,-0.00249778
0.20320,-0.00247745
0.20508,-0.00246067
0.20696,-0.00244308
0.20884,-0.0024293
0.21072,-0.00241145
0.21261,-0.00239624
0.21449,-0.0023693
0.21637,-0.00234303
0.21825,-0.00231722
0.22013,-0.0022927
0.22201,-0.00226928
0.22389,-0.00224679
0.22578,-0.00223108
0.22766,-0.00221616
0.22954,-0.00219899
0.23142,-0.00218292
0.23330,-0.00216809
0.23518,-0.00215651
0.23706,-0.00214294
0.23895,-0.00213168
0.24083,-0.00212225
0.24271,-0.00211721
0.24459,-0.002112
0.24647,-0.00210686
0.24835,-0.00210297
0.25024,-0.00209994
0.25212,-0.00209572
0.25400,-0.00209326
0.25588,-0.00208842
0.25776,-0.00208597
0.25964,-0.00208051
0.26152,-0.00207645
0.26341,-0.00207172
0.26529,-0.00206827
0.26717,-0.00206502
0.26905,-0.00206155
0.27093,-0.00205936
0.27281,-0.00205824
0.27469,-0.00205482
0.27658,-0.00205169
0.27846,-0.00204628
0.28034,-0.00204345
0.28222,-0.00203763
0.28410,-0.00203186
0.28598,-0.00202449
0.28786,-0.00201509
0.28975,-0.00200538
0.29163,-0.0019938
0.29351,-0.00198163
0.29539,-0.00197159
0.29727,-0.00196127
0.29915,-0.00195165
0.30103,-0.00194228
0.30292,-0.0019342
0.30480,-0.0019252
0.30668,-0.00191884
0.30856,-0.00191065
0.31044,-0.00190519
0.31232,-0.00189745
0.31421,-0.00188899
0.31609,-0.00187876
0.31797,-0.00186782
0.31985,-0.00185566
0.32173,-0.00184236
0.32361,-0.00182687
0.32549,-0.00181023
0.32738,-0.00179252
0.32926,-0.00177417
0.33114,-0.00175539
0.33302,-0.00173575
0.33490,-0.00171588
0.33678,-0.00169597
0.33866,-0.00167651
0.34055,-0.00165659
0.34243,-0.00163684
0.34431,-0.00161684
0.34619,-0.00159611
0.34807,-0.00157869
0.34995,-0.00156017
0.35183,-0.00154163
0.35372,-0.00152202
0.35560,-0.00150194
0.35748,-0.0014809
0.35936,-0.00145998
0.36124,-0.00143757
0.36312,-0.00141575
0.36500,-0.00139291
0.36689,-0.00137099
0.36877,-0.00134854
0.37065,-0.00132903
0.37253,-0.00130816
0.37441,-0.00128576
0.37629,-0.00126279
0.37817,-0.00123934
0.38006,-0.00121664
0.38194,-0.00119379
0.38382,-0.00117144
0.38570,-0.0011492
0.38758,-0.00112548
0.38946,-0.00110187
0.39135,-0.00107732
