# Gartling (1990) BFS benchmark, Re = 800, digitised from Chan & Mittal
# fig.3; station x = 15; interpolated to a uniform y grid
y,u,v,omega
-0.2200,0.601478,-0.00191262,-2.02361
-0.2150,0.610761,-0.00190467,-2.00855
-0.2100,0.619602,-0.0018907,-1.99432
-0.2050,0.627927,-0.00186592,-1.97103
-0.2000,0.637824,-0.00183814,-1.94283
-0.1950,0.646955,-0.00180125,-1.90776
-0.1900,0.658403,-0.00176251,-1.86786
-0.1850,0.669858,-0.00172547,-1.82908
-0.1800,0.679685,-0.00169284,-1.79497
-0.1750,0.688735,-0.00167044,-1.76697
-0.1700,0.695155,-0.00163415,-1.73498
-0.1650,0.704123,-0.00159082,-1.69452
-0.1600,0.713556,-0.00154191,-1.65445
-0.1550,0.722525,-0.00149336,-1.61439
-0.1500,0.730753,-0.00145876,-1.58114
-0.1450,0.736347,-0.00140989,-1.55222
-0.1400,0.742283,-0.00135123,-1.51366
-0.1350,0.748114,-0.00127766,-1.46465
-0.1300,0.756611,-0.00119535,-1.40399
-0.1250,0.765484,-0.00110955,-1.34194
-0.1200,0.774549,-0.00102777,-1.27876
-0.1150,0.783196,-0.000948961,-1.21924
-0.1100,0.790394,-0.000901849,-1.17639
-0.1050,0.795391,-0.000857712,-1.13929
-0.1000,0.799446,-0.000799621,-1.10077
-0.0950,0.804099,-0.000723874,-1.04307
-0.0900,0.809632,-0.000638438,-0.981533
-0.0850,0.814712,-0.00055348,-0.917765
-0.0800,0.819632,-0.000479516,-0.85895
-0.0750,0.823202,-0.000404321,-0.806838
-0.0700,0.826254,-0.000306828,-0.746773
-0.0650,0.830522,-0.000208884,-0.686476
-0.0600,0.834497,-0.000101805,-0.616346
-0.0550,0.838573,1.337e-07,-0.546921
-0.0500,0.842136,8.93126e-05,-0.48626
-0.0450,0.844878,0.000173124,-0.430195
-0.0400,0.846906,0.000250087,-0.37497
-0.0350,0.84769,0.00032344,-0.321143
-0.0300,0.848145,0.000405608,-0.262301
-0.0250,0.849153,0.000507343,-0.190159
-0.0200,0.850455,0.00059626,-0.125804
-0.0150,0.851243,0.00068137,-0.0597889
-0.0100,0.851702,0.000766641,0.00684049
-0.0050,0.851422,0.000847257,0.0656508
0.0000,0.850724,0.000934388,0.123312
0.0050,0.85033,0.00101228,0.178675
0.0100,0.849373,0.00107904,0.234026
0.0150,0.847642,0.00115631,0.301047
0.0200,0.845583,0.00123582,0.367015
0.0250,0.843262,0.00131817,0.432726
0.0300,0.841078,0.00141074,0.501409
0.0350,0.839528,0.00148991,0.560828
0.0400,0.838146,0.00156522,0.615587
0.0450,0.835358,0.00164243,0.675704
0.0500,0.831369,0.00172236,0.734544
0.0550,0.826515,0.00179796,0.79581
0.0600,0.820665,0.00188915,0.86468
0.0650,0.814664,0.00197941,0.927999
0.0700,0.80919,0.00204956,0.979422
0.0750,0.803701,0.00211318,1.02318
0.0800,0.799733,0.00215723,1.06629
0.0850,0.793523,0.00222323,1.12131
0.0900,0.787052,0.00228984,1.17419
0.0950,0.780452,0.00235197,1.22491
0.1000,0.77408,0.00240559,1.26577
0.1050,0.770648,0.00244353,1.29513
0.1100,0.765499,0.00247629,1.32895
0.1150,0.7588,0.00251262,1.37361
0.1200,0.749835,0.00256396,1.4265
0.1250,0.74016,0.00261293,1.4783
0.1300,0.730266,0.00266297,1.53186
0.1350,0.72104,0.00270961,1.57741
0.1400,0.713694,0.00274682,1.61088
0.1450,0.707902,0.00276894,1.63719
0.1500,0.702463,0.00278693,1.66205
0.1550,0.694017,0.00280294,1.69856
0.1600,0.684345,0.00282205,1.73285
0.1650,0.674011,0.00283426,1.76627
0.1700,0.664005,0.00284115,1.79334
0.1750,0.656204,0.00284686,1.81268
0.1800,0.647688,0.00284885,1.83685
0.1850,0.637531,0.00285396,1.86395
0.1900,0.626461,0.00285771,1.89117
0.1950,0.614721,0.00285791,1.91617
0.2000,0.604007,0.00285229,1.93629
0.2050,0.594234,0.00284142,1.95176
0.2100,0.584796,0.00282429,1.96132
0.2150,0.57654,0.00279952,1.96861
0.2200,0.567198,0.00276927,1.98012
0.2250,0.555902,0.00273563,1.99396
0.2300,0.545334,0.0027069,2.00645
0.2350,0.534107,0.0026768,2.01774
0.2400,0.52258,0.00263785,2.02679
0.2450,0.512709,0.00260048,2.03369
0.2500,0.503233,0.00256467,2.04157
0.2550,0.494547,0.00252951,2.04741
0.2600,0.48559,0.00249186,2.05048
0.2650,0.475269,0.0024444,2.05394
0.2700,0.464546,0.00239223,2.05782
0.2750,0.453959,0.00233496,2.06045
0.2800,0.443606,0.00228001,2.06202
0.2850,0.434768,0.00223259,2.06253
0.2900,0.426226,0.00218915,2.06279
0.2950,0.415856,0.00213359,2.06082
0.3000,0.40572,0.00207481,2.05778
0.3050,0.393471,0.00200675,2.05427
0.3100,0.379925,0.00192341,2.05034
0.3150,0.367397,0.00183924,2.04604
0.3200,0.356846,0.00176943,2.0424
0.3250,0.349118,0.00170353,2.0376
0.3300,0.33918,0.00164723,2.03369
0.3350,0.327444,0.00157206,2.03044
0.3400,0.315743,0.00149617,2.02794
0.3450,0.304419,0.00142108,2.02448
0.3500,0.295876,0.00135879,2.02088
0.3550,0.288531,0.00131522,2.01948
0.3600,0.279942,0.00126029,2.01789
0.3650,0.268688,0.00119844,2.0142
0.3700,0.255889,0.00111952,2.00945
0.3750,0.242563,0.0010339,2.0043
0.3800,0.229633,0.000948797,1.99968
0.3850,0.218288,0.000872134,1.99589
0.3900,0.20994,0.00080777,1.99357
0.3950,0.204165,0.000760872,1.99217
0.4000,0.196321,0.000721182,1.99087
0.4050,0.185727,0.000658309,1.98953
0.4100,0.174527,0.000596315,1.98783
0.4150,0.163019,0.000533089,1.98625
0.4200,0.152924,0.00047685,1.98608
0.4250,0.144722,0.000430546,1.98596
0.4300,0.133338,0.000377482,1.98539
0.4350,0.122566,0.000324089,1.98304
0.4400,0.110331,0.000265578,1.97991
0.4450,0.097856,0.0002111,1.97681
0.4500,0.0875733,0.000165029,1.9752
0.4550,0.0773639,0.000125482,1.97497
0.4600,0.0680825,9.7233e-05,1.97579
0.4650,0.0595397,7.72018e-05,1.97718
0.4700,0.0507733,5.96411e-05,1.97923
0.4750,0.0414967,4.27658e-05,1.98189
0.4800,0.0314121,2.47698e-05,1.98511
0.4850,0.0202386,3.85438e-06,1.98887
0.4900,0.00768971,-2.17596e-05,1.99312
0.4950,-0.00595888,-5.26378e-05,1.99764
0.5000,-0.00595888,-5.26378e-05,1.99764
