# Gartling (1990) BFS benchmark, Re = 800, digitised from Chan & Mittal
# fig.3; station x = 15; interpolated to a uniform y grid
y,u,v,omega
-0.5000,0.0102662,8.47512e-06,-2.17872
-0.4950,0.0102662,8.47512e-06,-2.17872
-0.4900,0.0217735,-7.19072e-06,-2.17578
-0.4850,0.0351441,-2.47471e-05,-2.17285
-0.4800,0.0471017,-4.05024e-05,-2.17077
-0.4750,0.0579456,-5.5665e-05,-2.16947
-0.4700,0.0679689,-7.14614e-05,-2.16882
-0.4650,0.0774827,-8.91031e-05,-2.16873
-0.4600,0.0867858,-0.0001098,-2.1691
-0.4550,0.0965856,-0.000136587,-2.16976
-0.4500,0.106814,-0.000173135,-2.17061
-0.4450,0.119428,-0.000219643,-2.17188
-0.4400,0.133376,-0.000272611,-2.17358
-0.4350,0.146342,-0.000323916,-2.17428
-0.4300,0.156971,-0.000371799,-2.17411
-0.4250,0.165474,-0.000411806,-2.17409
-0.4200,0.174991,-0.00045726,-2.17488
-0.4150,0.186693,-0.00050976,-2.17533
-0.4100,0.198204,-0.000564462,-2.1774
-0.4050,0.209739,-0.00061895,-2.17921
-0.4000,0.219417,-0.000663837,-2.18054
-0.3950,0.226749,-0.000697455,-2.18186
-0.3900,0.235458,-0.000741086,-2.18352
-0.3850,0.24593,-0.000795527,-2.18696
-0.3800,0.25907,-0.000859462,-2.19126
-0.3750,0.27309,-0.000927651,-2.19401
-0.3700,0.287255,-0.000994459,-2.19678
-0.3650,0.299422,-0.00105381,-2.19887
-0.3600,0.309185,-0.00110004,-2.20004
-0.3550,0.317068,-0.00113956,-2.20148
-0.3500,0.323822,-0.00118175,-2.20311
-0.3450,0.334293,-0.00123931,-2.20432
-0.3400,0.345449,-0.001298,-2.20565
-0.3350,0.35739,-0.00135658,-2.20609
-0.3300,0.368981,-0.00140666,-2.2069
-0.3250,0.378709,-0.00144682,-2.20855
-0.3200,0.388267,-0.00149201,-2.20891
-0.3150,0.399755,-0.00154272,-2.20956
-0.3100,0.412347,-0.00159959,-2.21037
-0.3050,0.425389,-0.00165236,-2.20872
-0.3000,0.437868,-0.00169757,-2.20676
-0.2950,0.448381,-0.0017361,-2.20287
-0.2900,0.459282,-0.00176531,-2.19716
-0.2850,0.468334,-0.00178961,-2.19119
-0.2800,0.478379,-0.00181845,-2.18376
-0.2750,0.490035,-0.0018488,-2.17572
-0.2700,0.501632,-0.0018751,-2.16699
-0.2650,0.512996,-0.00189527,-2.15558
-0.2600,0.52442,-0.00190897,-2.1431
-0.2550,0.534855,-0.00191621,-2.13136
-0.2500,0.543874,-0.00192104,-2.11877
-0.2450,0.553322,-0.00192912,-2.10945
-0.2400,0.561089,-0.00193302,-2.09585
-0.2350,0.570676,-0.00193138,-2.079
-0.2300,0.580684,-0.00192529,-2.06054
-0.2250,0.590731,-0.00191767,-2.04061
