# Armaly et al., JFM 127 (1983) 473-496 -- PREDICTED (TEACH FD code)
# primary reattachment length x1, normalised by STEP height S = 4.9 mm
# Re = V*2h/nu, V = average inlet velocity, h = inlet height 5.2 mm
# pixel-extracted at 600 dpi by reference/armaly_digitize.py
# 2-D flow only for Re < 400 (paper p.474)
Re,x1_over_S
250.40,5.9459
251.06,5.9662
251.72,5.9662
252.38,5.9932
253.03,5.9932
253.69,6.0135
254.35,6.0135
255.01,6.0338
255.66,6.0338
256.32,6.0541
256.98,6.0541
257.63,6.0811
258.29,6.0811
258.95,6.1014
259.61,6.1014
260.26,6.1217
260.92,6.1217
261.58,6.1420
262.23,6.1420
262.89,6.1690
263.55,6.1690
264.21,6.1961
264.86,6.1961
265.52,6.2231
266.18,6.2231
266.84,6.2501
267.49,6.2501
268.15,6.2704
268.81,6.2704
269.46,6.2907
270.12,6.2907
270.78,6.3042
271.44,6.3042
272.09,6.3313
272.75,6.3313
273.41,6.3515
274.06,6.3515
274.72,6.3718
275.38,6.3718
276.04,6.3921
276.69,6.3921
277.35,6.4056
278.01,6.4056
278.67,6.4327
279.32,6.4327
279.98,6.4530
280.64,6.4530
281.29,6.4800
281.95,6.4800
282.61,6.5003
283.27,6.5003
283.92,6.5273
284.58,6.5273
285.24,6.5476
285.89,6.5476
286.55,6.5679
287.21,6.5679
287.87,6.5949
288.52,6.5949
289.18,6.6152
289.84,6.6152
290.50,6.6287
291.15,6.6287
291.81,6.6558
292.47,6.6558
293.12,6.6828
293.78,6.6828
294.44,6.6963
295.10,6.6963
295.75,6.7166
296.41,6.7166
297.07,6.7369
297.72,6.7369
298.38,6.7572
299.04,6.7572
299.70,6.7842
300.35,6.7842
301.01,6.8045
301.67,6.8045
302.33,6.8180
302.98,6.8180
303.64,6.8383
304.30,6.8383
304.95,6.8586
305.61,6.8586
306.27,6.8856
306.93,6.8856
307.58,6.8924
308.24,6.8924
308.90,6.9194
309.56,6.9194
310.21,6.9330
310.87,6.9330
311.53,6.9600
312.18,6.9600
312.84,6.9803
313.50,6.9803
314.16,7.0006
314.81,7.0006
315.47,7.0276
316.13,7.0276
316.78,7.0411
317.44,7.0411
318.10,7.0682
318.76,7.0682
319.41,7.0885
320.07,7.0885
320.73,7.1087
321.39,7.1087
322.04,7.1223
322.70,7.1223
323.36,7.1358
324.01,7.1358
324.67,7.1561
325.33,7.1561
325.99,7.1831
326.64,7.1831
327.30,7.1966
327.96,7.1966
328.61,7.2169
329.27,7.2169
329.93,7.2304
330.59,7.2304
331.24,7.2575
331.90,7.2575
332.56,7.2777
333.22,7.2777
333.87,7.2980
334.53,7.2980
335.19,7.3115
335.84,7.3115
336.50,7.3318
337.16,7.3318
337.82,7.3521
338.47,7.3521
339.13,7.3792
339.79,7.3792
340.44,7.3859
341.10,7.3859
341.76,7.4062
342.42,7.4062
343.07,7.4197
343.73,7.4197
344.39,7.4400
345.05,7.4400
345.70,7.4603
346.36,7.4603
347.02,7.4738
347.67,7.4738
348.33,7.4941
348.99,7.4941
349.65,7.5144
350.30,7.5144
350.96,7.5279
351.62,7.5279
352.28,7.5549
352.93,7.5549
353.59,7.5685
354.25,7.5685
354.90,7.5887
355.56,7.5887
356.22,7.6023
356.88,7.6023
357.53,7.6158
358.19,7.6158
358.85,7.6293
359.50,7.6293
360.16,7.6496
360.82,7.6496
361.48,7.6699
362.13,7.6699
362.79,7.6766
363.45,7.6766
364.11,7.6901
364.76,7.6901
365.42,7.7172
366.08,7.7172
366.73,7.7307
367.39,7.7307
368.05,7.7442
368.71,7.7442
369.36,7.7577
370.02,7.7577
370.68,7.7848
371.33,7.7848
371.99,7.7983
372.65,7.7983
373.31,7.8118
373.96,7.8118
374.62,7.8389
375.28,7.8389
375.94,7.8524
376.59,7.8524
377.25,7.8659
377.91,7.8659
378.56,7.8727
379.22,7.8727
379.88,7.8997
380.54,7.8997
381.19,7.9132
381.85,7.9132
382.51,7.9268
383.16,7.9268
383.82,7.9335
384.48,7.9335
385.14,7.9470
385.79,7.9470
386.45,7.9606
387.11,7.9606
387.77,7.9808
388.42,7.9808
389.08,8.0011
389.74,8.0011
390.39,8.0146
391.05,8.0146
391.71,8.0282
392.37,8.0282
393.02,8.0417
393.68,8.0417
394.34,8.0552
394.99,8.0552
395.65,8.0620
396.31,8.0620
396.97,8.0755
397.62,8.0755
398.28,8.0890
398.94,8.0890
399.60,8.1025
400.25,8.1025
400.91,8.1161
401.57,8.1161
402.22,8.1228
402.88,8.1228
403.54,8.1431
404.20,8.1431
404.85,8.1566
405.51,8.1566
406.17,8.1634
406.83,8.1634
407.48,8.1837
408.14,8.1837
408.80,8.1972
409.45,8.1972
410.11,8.2107
410.77,8.2107
411.43,8.2242
412.08,8.2242
412.74,8.2377
413.40,8.2377
414.05,8.2445
414.71,8.2445
415.37,8.2648
416.03,8.2648
416.68,8.2783
417.34,8.2783
418.00,8.2918
418.66,8.2918
419.31,8.2986
419.97,8.2986
420.63,8.0011
421.28,8.0011
421.94,7.9876
422.60,7.9876
423.26,8.0146
423.91,8.0146
424.57,8.0417
425.23,8.0417
425.88,8.0349
426.54,8.0349
427.20,8.0552
427.86,8.0552
428.51,8.1701
429.17,8.1701
429.83,8.2513
430.49,8.2513
431.14,8.3256
431.80,8.3256
432.46,8.3797
433.11,8.3797
433.77,8.4406
434.43,8.4406
435.09,8.4811
435.74,8.4811
436.40,8.5217
437.06,8.5217
437.71,8.5690
438.37,8.5690
439.03,8.6434
439.69,8.6434
440.34,8.6907
441.00,8.6907
441.66,8.6096
442.32,8.6096
442.97,8.5014
443.63,8.5014
444.29,8.5014
444.94,8.5014
445.60,8.5082
446.26,8.5082
446.92,8.4879
447.57,8.4879
448.23,8.4946
448.89,8.4946
449.54,8.4879
450.20,8.4879
450.86,8.4608
451.52,8.4608
452.17,7.3386
452.83,7.3386
453.49,7.9065
454.15,7.9065
454.80,7.3115
455.46,7.3115
456.12,7.2980
456.77,7.2980
457.43,7.2913
458.09,7.2913
458.75,7.2642
459.40,7.2642
460.06,7.8862
460.72,7.8862
461.38,7.8862
462.03,7.8862
462.69,7.8862
463.35,7.8862
464.00,7.8862
464.66,7.8862
465.32,7.8862
465.98,7.8862
466.63,8.5690
467.29,8.5690
467.95,7.8794
468.60,7.8794
469.26,8.5961
469.92,8.5961
470.58,7.8794
471.23,7.8794
471.89,7.1493
472.55,7.1493
473.21,7.1358
473.86,7.1358
474.52,7.8727
475.18,7.8727
475.83,7.8727
476.49,7.8727
477.15,7.8727
477.81,7.8727
478.46,8.6434
479.12,8.6434
