# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
-0.26341,-2.82651
-0.26246,-2.80932
-0.26152,-2.79204
-0.26058,-2.77549
-0.25964,-2.759
-0.25870,-2.74538
-0.25776,-2.73165
-0.25682,-2.71813
-0.25588,-2.70462
-0.25494,-2.69192
-0.25400,-2.67787
-0.25306,-2.66377
-0.25212,-2.64829
-0.25118,-2.63294
-0.25024,-2.617
-0.24929,-2.60307
-0.24835,-2.58762
-0.24741,-2.57656
-0.24647,-2.56517
-0.24553,-2.55308
-0.24459,-2.54009
-0.24365,-2.52726
-0.24271,-2.51371
-0.24177,-2.49946
-0.24083,-2.48404
-0.23989,-2.4682
-0.23895,-2.45062
-0.23801,-2.43263
-0.23706,-2.4143
-0.23612,-2.39639
-0.23518,-2.37822
-0.23424,-2.35986
-0.23330,-2.34004
-0.23236,-2.32029
-0.23142,-2.30034
-0.23048,-2.28081
-0.22954,-2.26122
-0.22860,-2.24165
-0.22766,-2.2221
-0.22672,-2.20271
-0.22578,-2.18232
-0.22484,-2.16187
-0.22389,-2.13854
-0.22295,-2.11941
-0.22201,-2.10006
-0.22107,-2.08146
-0.22013,-2.06241
-0.21919,-2.04387
-0.21825,-2.0255
-0.21731,-2.00788
-0.21637,-1.98915
-0.21543,-1.97088
-0.21449,-1.95088
-0.21355,-1.93094
-0.21261,-1.91098
-0.21167,-1.89706
-0.21072,-1.88194
-0.20978,-1.86646
-0.20884,-1.85018
-0.20790,-1.83239
-0.20696,-1.81183
-0.20602,-1.79038
-0.20508,-1.76818
-0.20414,-1.7454
-0.20320,-1.72314
-0.20226,-1.70088
-0.20132,-1.67885
-0.20038,-1.65866
-0.19944,-1.63647
-0.19849,-1.61779
-0.19755,-1.59495
-0.19661,-1.57114
-0.19567,-1.54633
-0.19473,-1.51865
-0.19379,-1.49042
-0.19285,-1.46225
-0.19191,-1.43395
-0.19097,-1.40635
-0.19003,-1.37823
-0.18909,-1.35048
-0.18815,-1.32272
-0.18721,-1.29596
-0.18627,-1.27081
-0.18532,-1.24582
-0.18438,-1.22069
-0.18344,-1.19691
-0.18250,-1.17065
-0.18156,-1.14715
-0.18062,-1.12345
-0.17968,-1.09973
-0.17874,-1.07545
-0.17780,-1.05086
-0.17686,-1.02675
-0.17592,-1.00662
-0.17498,-0.986489
-0.17404,-0.973866
-0.17310,-0.958437
-0.17215,-0.942365
-0.17121,-0.920441
-0.17027,-0.897241
-0.16933,-0.873156
-0.16839,-0.84637
-0.16745,-0.818322
-0.16651,-0.791156
-0.16557,-0.763717
-0.16463,-0.736851
